,Prostate_1,Prostate_4,unassigned,Prostate_6,Prostate_3,Prostate_5,Prostate_2
Eif4ebp1,0,0,0,0,0.653843363531843,0,0
Eif5,0,0,0,0,0,0,0
Eif5a,0,0,0,0,0,0,0
Eif5b,0,0,0,0,0,0,0
Elob,0,0,0,0,0,0,0
Epcam,0,0,0,0,0,0,0
Ergic1,0,0,0,0,0,0,0
Ezr,0,0,0,0,0,0,0
Fam162a,0,0,0,0,0,0,0
Fam174b,0,0,0,0,0,0,0
Fam25c,0,0,0,0,0,0,0
Fau,0,0,0,0,0,0,0
Fkbp2,0,0,0,0,0,0,0.926846364231344
Fos,0,0,0,0,0.843837976614086,0.600425511520904,0
Fth1,0.999794459223439,1.41767782478058,0,1.23873838575029,1.55141767531133,1.57363111405299,1.10788774113887
Ftl1,0,0,0,0,0.736256741033575,0,0
Fuca1,0,0,0,0,0,0,0
Fxyd3,0,0.975325440893995,0,0,0,0,0
Gabarap,0,0,0,0,0,0,0
Gadd45g,0,0,0,0,0,0,0
Gapdh,0,0,0,0,0,0,0
Gas5,0,0,0,0,0,0,0
Gchfr,0,0,0,0,0,0,0
Gm10736,0,0,0,0,0,0,0
Gm16136,0,0,0,0,0,0,0
Gnas,0,0,0,0,0,0,0
Gne,0,0,0,0,0,0,0
Gng5,0,0,0,0,0,0,0
Gpx1,0,0,0,0,0,0,0
Gpx3,0.879891361947921,0,0,0.983721999505478,1.1567944293768,1.40940559399758,1.12786937323853
Gsn,0,0,0,0,0,1.15585810117706,0
Gstk1,0,0,0,0,0,0,0
Gstm1,0,0,0,0,0,0,0
Gstm2,0,0,0,0,0,0,0
Gstt3,0,0,0,0,0,0,0
H13,0,0,0,0,0,0,0
H2-D1,0,0,0,0,0,0,0
H2-K1,0,0,0,0,0,0,0
H2afj,0,0,0,0,0,0,0
H3f3b,0,0.882256984166763,0,0,0.974914785844625,0.587990747973546,0.345441968382745
Hacd2,0,0,0,0,0,0,0
Hbb-bs,0,0,0,0,0,0,0
Herpud1,0,0,0,0,0,0,0.774053958606569
Hes1,0,0,0,0,0,0,0
Higd2a,0,0,0,0,0,0,0
Hint1,0,0,0,0,0,0,0.268232412369469
Hist1h2bc,0,0,0,0,0,0,0
Hmgn1,0,0,0,0,0,0,0
Hoxb13,0,0,0,0,0,0,0
Hsbp1,0,0,0,0,0,0,0
Hsd17b10,0,0,0,0,0,0,0
Hsp90aa1,0,0,0,0.654698667202519,0,0.272002052807019,0
Hsp90ab1,0.797022822591971,0.821166558114244,0,0.962478219977247,0.974914785844625,0.966285224421592,0.906998607061557
Hsp90b1,0,0,0,0,0,0,0
Hspa1a,0,0,0,0,0,0,0
Hspa5,0.729787190407632,0,0,0.904084500980786,0,0.961064606244152,1.1540308952589
Hspa8,1.0217378826335,1.0729681135227,0,0.986694577964807,1.5309142393325,1.2517319006278,0.993212646312461
Hspb1,1.09036442614853,1.42573402030519,1.01960490930469,1.14990724957847,1.13372467737432,1.21213476331852,1.07890470126782
Hspe1,0,0,0,0,0,0,0
Ier2,0,0,0,0,0,0,0
Ier3,0,0,0,0,0,0,0
Ier3ip1,0,0,0,0,0,0,0
Ifitm2,0,0,0,0,0,0,0
Ifitm3,0,0,0,0,0,0,0
Ift20,0,0,0,0,0,0,0
Igha,0,0,0,0,0,0,0
Igkc,0,0,0,0,0,0,0
Imp3,0,0,0,0,0,0,0
Jtb,0,0,0,0,0,0,0
Jun,0,0,0,0,0,0,0
Junb,0,0,0,0,0,0,0
Jund,0,0,0,0,0,0,0
Kcnk1,0,0,0,0,0,0,0
Kcnk3,0,0,0,0,0,0,0
Kdelr1,0,0,0,0,0,0,0
Klf6,0,0,0,0,0,0,0
Krt18,0.672748264300629,0.933809178799527,0,0.682391390063787,0,0,0.777987011478762
Krt19,0,1.03202216581422,0,0,0,0,0
Krt8,0,0,0,0,0,0,0
Krtcap2,0,0,0,0,0.736256741033575,0,0
Lamp1,0,0,0,0,0,0,0
Lamp2,0,0,0,0,0,0,0
Lamtor2,0,0,0,0,0,0,0
Laptm4a,0,0,0,0,0,0,0.809711055638557
Ldha,0,0,0,0,0,0,0
Lrrc26,0,0,0,0,0,0,0
Ly6a,0,0,0,0,0,0,0
Ly6e,0.889406617088213,1.85847493449858,0,1.17368382511999,1.02067023551388,1.17526405038247,1.10589608131623
Malat1,0,0,0,0,0,0,0
Manf,0,0,0,0,0,0,0
Map1lc3a,0,0,0,0,0,0,0
Map1lc3b,0,0,0,0,0,0,0
Marc2,0,0,0,0,0,0,0
Mat2a,0,0,0,0,0,0,0
Mcee,0,0,0,0,0,0,0
Mdh1,0,0,0,0,0,0,0
Med28,0,0,0,0,0,0,0
Mgp,0,0,0,0,0,0.800185300500221,0
Mien1,0,0,0,0,0,0,0
Mif,0,0,0,0,0,0,0
Minos1,0,0,0,0.690883936765491,0.84963435270374,0,0.766038940827696
Mlph,0,0,0,0,0,0,0
Mme,0,0,0,0,0,0,0.691247559866877
Mrpl30,0,0,0,0,0,0,0
Mrpl52,0,0,0,0,0,0,0
Mrps14,0,0,0,0,0,0,0
Mrps24,0,0,0,0,0,0,0
Msmb,0,0,0,0,0,0,4.47500842162518
Msrb1,0,0,0,0,0,0,0
mt-Nd5,0,0.806398059701127,0,0.962478219977247,0,0,0.268232412369469
mt-Rnr1,0.990687168699085,1.19037724293524,1.05033796227287,1.17368382511999,1.05374589651036,1.00884435433945,0.958055254950947
Mt2,1.07468886807448,0,0.943974181238484,1.1751147830682,0.959654814311527,1.18889529182206,1.23954481755051
Mtdh,0,0,0,0,0,0,0
Myl12b,0,0,0,0,0,0,0
Myl6,0,0,0,0,0,0,0
Naa38,0,0,0,0,0,0,0
Naca,0,0,0,0,0,0,0
Nans,0,0,0,0,0,0,0
Ndufa1,0,0,0,0,0,0,0
Ndufa11,0,0,0,0,0,0,0
Ndufa12,0,0,0,0,0,0,0
Ndufa13,0,0,0,0,0,0,0
Ndufa2,0,0,0,0,0,0,0
Ndufa3,0,0.761813074477802,0,0,0.89101317058576,0,0
Ndufa4,0,0,0,0,0,0,0
Ndufa5,0,0,0,0,0,0,0
Ndufa6,0,0,0,0,0,0,0
Ndufa7,0,0,0,0,0,0,0
Ndufb10,0,0,0,0,0,0,0
Ndufb2,0,0,0,0,0,0,0
Ndufb5,0,0,0,0,0,0,0
Ndufb6,0,0,0,0,0,0,0
Ndufb8,0,0,0,0,0,0,0
Ndufb9,0,0,0,0,0,0,0
Ndufc1,0,0,0,0,0,0,0
Ndufs6,0,0,0,0,0,0,0
Ndufs7,0,0,0,0,0,0,0
Ndufv3,0,0,0,0,0,0,0
Neat1,0,0,0,0,0,0,0
Nedd8,0,0,0,0,0,0,0
Nhp2,0,0,0,0,0,0,0
Nme1,0,0,0,0,0,0,0
Nop10,0,0,0,0,0,0,0
Npc2,0,0,0,0,0,0,0
Npdc1,0,0,0,0,0,0,0
Npm1,0,0,0,0,0,0,0
Nucb1,0,0,0,0,0,0,0
Nucb2,0,0,0,0,0,0,0
Nupr1,1.92349117537626,1.87356549807276,1.82514217927719,1.94334491762836,2.25682288290979,1.91909496902844,1.09299414041628
Oaz1,0,0,0,0,0,0,0
Ociad1,0,0,0,0,0,0,0
Oit1,0.888605579107187,1.02018623167815,0,0.690883936765491,0.84963435270374,0,0
Os9,0,0,0,0,0,0,0
P4hb,0,0,0,0,0,0,0.65286018656761
Pabpc1,0,0,0,0,0,0,0
Papss2,0,0,0,0,0,0,0
Park7,0,0,0,0,0,0,0
Pbsn,0,0,0,0,0,0,1.82328062792666
Pcbp1,0,0,0,0,0,0,0
Pdia3,0,0,0,0,0,0,0
Pdia6,0,0,0,0,0,0,1.07353675115565
Pebp1,0,0,0,0,0,0,0
Pfdn5,0,0,0,0,0,0,0
Pgap2,0,0,0,0,0,0,0
Phlda1,0,0.513849944889828,0,0,0,0,0
Pigr,0,1.00855743521706,0,1.01854189615666,0,0,0
Pkm,0,0,0,0,0,0,0
Plet1,0,0,0,0,0,0,0
Pnrc1,0,0,0,0,0,0,0
Polr1d,0,0,0,0,0,0,0
Pomp,0,0,0,0,0,0,0
Ppia,0,0,0,0,0,0,0
Ppib,0,0,0,0,0,0,0
Prdx1,0,0,0,0,0,0,0
Prdx2,0,0,0,0,0,0,0
Prdx5,0,0,0,0,0,0,0
Psma1,0,0,0,0,0,0,0
Psma2,0,0,0,0,0,0,0
Psma7,0,0,0,0,0,0,0
Psmb1,0,0,0,0,0,0,0
Psmb4,0,0,0,0,0,0,0
Psmb6,0,0,0,0,0,0,0
Psmc3,0,0,0,0,0,0,0
Psmd7,0,0,0,0,0,0,0
Ptma,0,0,0,0,0,0,0
Rab11a,0,0,0,0,0,0,0
Rabac1,0,0.377334003083719,0,0,0,0,0.775576350839613
Rack1,0,0,0,0,0,0,0
Ralbp1,0,0,0,0,0,0,0
Rbx1,0,0,0,0,0,0,0
Rcn2,0,0,0,0,0,0,0
Reep5,0,0,0,0,0,0,0
Rgs2,0.918414001585737,0,0,1.20755545066895,1.02067023551388,0,0
Rheb,0,0,0,0,0,0,0
Romo1,0,0,0,0,0,0,0
Rpl10a,0,0,0,0,0,0,0
Rpl11,1.02280785854962,1.17593550617687,0.926191991036872,1.17368382511999,0.89101317058576,0.994229913668858,1.1540308952589
Rpl12,0,0.836073566048771,0,0,0,0,0
Rpl15,0,0,0,0,0,0,0
Rpl17,0,0.836073566048771,0,0,0,0.644257251017171,0.778599398055808
Rpl18,0.766882875594686,0.874089826921559,0,1.0492070911799,0.653843363531843,0.963937146123584,0.923379425217947
Rpl19,0,0,0,0,0,0,0
Rpl21,0,0.910437549794846,0,1.09036442614853,0.736256741033575,0.272002052807019,0.790992205574436
Rpl22,0,0,0,0,0,0,0
Rpl22l1,0,0,0,0,0,0,0
Rpl23,0,0.950411353551793,0,0,0,0,0.9279808057661
Rpl23a,0,0,0,0,0,0,0
Rpl26,0.950366188995013,1.05110377046477,0,1.01854189615666,0.959654814311527,1.08386100068992,1.18165668152048
Rpl27,0,0,0,0,0,0,0
Rpl27a,0,0,0,0,0,0,0
Rpl28,0,0,0,0,0,0,0
Rpl29,0,0,0,0,0,0,0
Rpl3,0.735713139481306,0.93033902001108,0,0.983721999505478,0,0.871389576173183,1.00342977336788
Rpl30,0,0.828930968679559,0,0.935885504208764,0,0,0.780845251932017
Rpl31,0.529690675547963,0.960816783379357,0,0.763351817518631,0,0.83610297015251,0.893907460055094
Rpl34,0,0,0,0,0,0,0.768885987532613
Rpl35,0,0,0,0,0,0,0
Rpl35a,0,0,0,0,0,0,0
Rpl36,0,1.00883301523734,0,0,0,0.328423458713886,0.857471289542341
Rpl36a,0,0,0,0,0,0,0
Rpl36al,0,0,0,0,0,0,0.850951903775769
Rpl37a,0,0.866221777860636,0,0.763351817518631,0.843837976614086,0,0.912938533575906
Rpl38,0.845279432215454,1.1028734551511,0,1.14990724957847,0.974914785844625,0,1.02068880316519
Rpl39,0,0,0,0,0,0,0
Rpl5,0,0,0,0,0,0,0
Rpl6,0,0,0,0,0,0,0
Rpl7,0,0.888624164606244,0,0.654698667202519,0.653843363531843,0.75897724466559,0.890091695927596
Rpl7a,0,0,0,0,0,0,0
Rpl8,0.802175864830043,1.01299878832805,0,0.962478219977247,0,0.386722046455438,0.799667460288197
Rpl9,0,0,0,0,0,0,0
Rplp0,0.832485749075061,1.02018623167815,0,0,0.89101317058576,1.08386100068992,1.08247604624151
Rplp2,0,0.906186691428712,0,0,0,0,0
Rpn2,0,0,0,0,0,0,0
Rps10,0,0,0,0,0,0,0
Rps11,0,0.882256984166763,0,0.954059194184631,0,0.75897724466559,0
Rps12,0,0.854100258715688,0,0,0,0,0
Rps13,0,0.856063134254642,0,0.690883936765491,0.736256741033575,0,0.791621690863058
Rps15,0,0,0,0,0,0.83610297015251,0
Rps15a,0,0.878446935501192,0,0,0,0.980626085099842,0.85633395681767
Rps16,0,0,0,0,0,0,0
Rps17,0,0,0,0,0,0,0
Rps18,0,0,0,0,0,0,0.483381993176061
Rps19,0.741186343038299,0.870589887813434,0,1.01854189615666,0,1.04153998015486,0.785390691381256
Rps2,0,0.93033902001108,0,0,0,0.644412153880413,0
Rps20,0,0.897114636975178,0,0,0.974914785844625,0.587990747973546,0.777987011478762
Rps21,0.896683576159208,1.08612595294846,0,1.04807875866815,0,1.01450525751849,0.841693018045493
Rps23,0,0,0,0,0,0,0
Rps24,0.964370080170631,1.24603689444504,0.909928585476235,1.15610180465871,1.0217378826335,1.11096763021822,1.01969859815415
Rps25,0,0,0,0,0,0,0
Rps26,0.96626966890343,1.14175566408638,0,1.10337960161486,0.915851253044085,0.372255198210152,1.16377619801239
Rps27a,0.474580071717411,0,0,0,0.736256741033575,0,0.934163274740788
Rps27l,0,0.217557913041091,0,0,0,0.967729012322242,0.799667460288197
Rps28,0,0,0,0,0,0,0.357566835955766
Rps29,0.96913365056429,1.12988456946326,0,1.09036442614853,0,0.994229913668858,0.948765324117182
Rps3,0,1.0106492681092,0,0.986694577964807,0,0,0.799667460288197
Rps3a1,0,0,0,0.654698667202519,0,0.328423458713886,0.769971993699889
Rps4x,0,0,0,0,0,0,0
Rps5,0,0.843457722238351,0,0.802175864830043,0,0.700678656924038,0
Rps7,0,0.878757045058638,0,0.763351817518631,0.653843363531843,0,0.936336601910576
Rps8,0.837413486505988,0.917987703624947,0,0.763351817518631,0,0.315988695166527,0.981816087534194
Rps9,1.02067023551388,1.19037724293524,0,1.1794298271728,0.915851253044085,1.07689635890367,1.22450582260945
Rpsa,0,0.820924813259919,0,0,0,0,0
Rrbp1,0,0,0,0,0,0,0
S100a11,0,1.00855743521706,0,0,0,0,0
S100a6,0,0,0,0,0,0.965343134251247,0
Saraf,0,0,0,0,0,0,0
Sbpl,0,0,0,0,0,0,0
Scand1,0,0,0,0,0,0,0
Scgb2b27,0,0,0,0,0,0,0
Sdf2l1,0,0,0,0,0,0,0
Sdf4,0,0,0,0,0,0,0
Sec11a,0,0,0,0,0,0,0
Sec11c,0.843119142954495,0,0,0,0,0,1.00495729522477
Sec61b,0,0,0,0,0,0,0.915052524786855
Sec61g,0,0,0,0,0,0,0
Sec62,0,0.37393253360897,0,0,0.736256741033575,0,0
Selenof,0,0,0,0,0,0,0
Selenok,0,0,0,0,0,0,0
Selenos,0,0,0,0,0,0,0
Selenow,0,0,0,0,0,0,0
Sem1,0,0,0,0,0,0,0
Serbp1,0,0,0,0,0,0,0
Serf2,0,0,0,0,0,0,0
Serinc3,0,0,0,0,0,0,0.679122692293857
Serp1,0,0,0,0,0,0,0.869463698997078
Sfxn1,0,0,0,0,0,0,0
Sh3bgrl3,0,0,0,0,0,0,0
Sin3b,0,0,0,0,0,0,0
Slc12a2,0,0,0,0,0,0,0
Slc1a5,0,0,0,0,0,0,0
Slc25a3,0,0,0,0,0,0,0
Slc25a5,0,0.670665465223934,0,0,0,0,0
Slc7a4,0,0,0,0,0,0,0
Slirp,0,0,0,0,0,0,0
Smdt1,0,0,0,0,0,0,0
Smim14,0,0,0,0,0,0,0
Snrpd3,0,0,0,0,0,0,0
Sod1,0,0,0,0,0,0,0
Son,0,0,0,0,0,0,0
Sparc,0,0,0,0,0,0.971536016766587,0
Spcs1,0,0,0,0,0,0,0
Spcs2,0,0,0,0,0,0,0
Spink5,0,0,0,0,0,0,0
Spint2,0,0,0,0,0,0,0
Sqstm1,0,0,0,0,0,0,0
Srp14,0,0,0,0,0,0,0
Srp19,0,0,0,0,0,0,0
Srp9,0,0,0,0,0,0,0
Ssr2,0,0,0,0,0,0,0
Ssr4,0.811360112741543,0,0,0.983721999505478,0.959654814311527,0,0.970127677456131
Stub1,0,0,0,0,0,0,0
Sub1,0,0,0,0,0,0,0
Surf4,0,0,0,0,0,0,0
Swi5,0,0.821166558114244,0,0,0,0.315988695166527,0
Syngr2,0,0,0,0,0,0,0
Taldo1,0,0,0,0,0,0,0
Tbca,0,0,0,0,0,0,0
Tceal9,0,0.621958212908862,0,0,0,0,0
Tecr,0,0,0,0,0,0,0
Timm13,0,0,0,0,0,0,0
Timm8b,0,0,0,0,0,0,0
Timp4,0,0,0,0,0,0,0
Tmbim4,0,0,0,0,0,0,0
Tmbim6,0,0,0,0,0,0,0
Tmed10,0,0,0,0,0,0,0
Tmed3,0,0,0,0,0,0,1.06702680985856
Tmed9,0,0,0,0,0,0,0
Tmem160,0,0,0,0,0,0,0
Tmem176a,0,0,0,0,0,0,0
Tmem176b,0,0,0,0,0,0,0
Tmem208,0,0,0,0,0,0,0
Tmem234,0,0,0,0,0,0,0
Tmem256,0,0,0,0,0,0,0
Tmem258,0,0,0,0,0,0,0
Tmem50a,0,0,0,0,0,0,0
Tmem59,0,0,0,0,0,0,0
Tmsb4x,0.848905329751775,1.04705506217032,0,1.62867519056109,1.65618777794544,1.25506252545364,1.01221647484595
Tpd52,0,0,0,0,0,0,0
Tpi1,0,0,0,0,0,0,0
Tpt1,0,0,0,0,0,0,0
Trappc6a,0,0,0,0,0,0,0
Tspan1,0.997755604692978,1.400865052661,1.02495482850078,1.05832589543439,0,0,0.977848444583821
Tspan13,0,0,0,0,0,0,0
Tuba4a,0,0,0,0,0,0,0
Txn1,0,0,0,0,0,0,0
Ubc,0,0,0,0,0.84963435270374,0.386722046455438,0
Ube2d3,0,0,0,0,0,0,0
Ubl5,0,0,0,0,0,0,0
Ufm1,0,0,0,0,0,0,0
Upk1a,0,0,0,0,0,0,0
Uqcr10,0,0,0,0,0,0,0
Uqcr11,0,0,0,0,0,0,0
Uqcrb,0,0,0,0,0,0,0
Uqcrfs1,0,0,0,0,0,0,0
Uqcrh,0,0.836073566048771,0,0,0,0,0
Uqcrq,0,0,0,0,0,0,0
Usmg5,0,0,0,0,0,0,0
Vamp8,0,0,0,0,0,0,0
Vti1b,0,0,0,0,0,0,0
Wfdc2,0,1.00883301523734,0,0,0,0,0
Wfdc3,1.67288853931208,1.23160063722213,1.24034244164651,1.19554205146936,1.38077836185045,1.2364065723935,2.36678964635602
Xbp1,0,0,0,0,0,0,0
Ywhae,0,0,0,0,0,0,0
Ywhah,0,0,0,0,0,0,0
Zfp36,0,0,0,0,0,0,0
