beta	alpha	delta	gamma
SERPINI1	0	3.52036628813209	0.222433640605915	0.441058469993214
PLP2	6.26836702239732	6.14964491673359	5.44621321311172	5.45695724325775
POLR2G	1.82835932486936	3.66556886075638	3.22252637965656	0
POLR2I	5.17706599675271	4.49861780401171	4.83638368327966	4.57312605706403
POLR2K	6.18839897749552	6.05268296510264	5.85374120756545	4.94585112806863
PON2	4.32488873058589	0	3.45407058313496	3.94643143710372
CTSA	4.19920484154822	5.06609588077797	5.47826969514735	5.83944316741342
PPIB	7.27156579879853	7.85149018264626	8.09633829177127	7.41717150336089
PPY	0	0	0	16.6343612507882
PSMA1	6.44005696682109	4.86207936631568	5.70546927585139	4.7811236168368
PSMA2	6.68702349489971	5.6615999704494	6.2957413886675	5.74905418331563
PSMA3	6.79475216552928	5.89097421176676	6.42985862451328	5.5804741546734
PSMA4	6.4846349695013	5.61383533546718	6.64078141777524	5.36554207366974
PSMA6	6.41892176973686	5.3449422324828	5.60988199599365	4.78606832251854
PSMB1	7.95672608029019	7.29739537766524	7.86504407634481	6.89474502054765
PSMB3	7.4081989586704	7.32364575628617	6.6660137535233	5.88701097527702
PSMB4	8.83134206282521	7.366431430853	8.21675604188906	7.8733167559887
PSMB5	8.26674526607847	7.43400217405056	6.88560242734776	7.66836523686387
PSMB6	7.76503036258381	7.54719502213758	6.97596601488653	6.56482322559904
PSMB7	5.83204634811253	3.98977540800103	3.57614720616894	1.61452139817027
PSMC5	5.98863820435776	4.59085400281051	5.31389883554826	4.3877829898728
PSMC6	4.86250601017638	2.93459193461913	1.67784646639964	2.17149508137614
PSMD4	3.67195460145126	2.30807559618652	1.24482618463078	2.2266934788559
PSMD7	5.42708357334286	4.48545897978332	3.92232155704701	3.9952855127332
PSMD10	0.680323707969614	0.435353367687713	0.867026632211542	0
PSME1	7.17588371626934	7.32245263991261	6.99917585052328	7.61033464767364
PSME2	4.42575804504803	6.51233603031662	5.87855124642844	4.93382754222046
PTS	5.79647815851179	5.27427094657249	5.63104897217373	4.04013845618006
QDPR	0.893808939935734	5.46840236018304	5.25792710239508	5.46151546305322
RABGGTB	3.26515911356013	1.01188718680503	3.45912993267866	0.627700213427627
RBP4	5.42964120147564	0	10.3893727817	0
RGS2	1.01456419257431	0	8.98759543851657	2.27691348324592
RGS4	0	6.57347866846846	0.426211072027404	4.12706368241339
RPS4Y1	0	1.32679252210229	5.11503740584144	5.03565469862562
S100A6	7.23929055398821	5.92710862269866	8.21523448023411	7.52607350793286
S100A10	0	4.15798417145309	0	6.45029739048355
S100A11	6.09085195139224	6.1193717418578	6.77140099029527	6.89677801128666
TSPAN31	2.00320119396729	2.18797630544553	1.21921499579542	0.907429101242319
SAT1	6.49521176519827	6.48757561919436	8.24500214294307	6.4434955941592
MSMO1	5.00335082257219	4.12445606467006	1.13560053485944	0.424599662230826
SDF2	2.29008858635153	1.32968864484697	0.560910560879889	1.47498108820498
SDHB	4.49889561391542	4.81472012075343	1.29924465779607	3.54312464483191
SDHD	6.3406174193885	5.73647440358465	5.72495580262452	5.83807691198712
SEPW1	7.60791655268589	5.34567335439895	7.16408732355498	7.53781943062159
SH3BGRL	5.77042921345765	4.01219536665086	5.45883802425917	4.90580816836688
SNRPA1	0	0	0	0
SNRPC	4.17535709420758	5.11081223831323	4.37471956952054	3.37920505996061
SNRPD1	4.93934814949071	5.09458228211204	5.73655346553523	4.83649477557483
SNRPF	5.18227891306917	5.00949439711398	4.33806779754262	4.6484999568499
SNRPG	7.75081566153081	7.99044737759267	7.56287813861973	7.6155207640948
SPINK1	0	1.58452936743359	0.894526770257394	1.4412709904386
SSR2	6.10077524183654	6.59117492198716	5.91088133624419	4.99676383455198
SST	2.42590096463605	1.64099041595837	17.1984792666841	3.3948296455484
SURF1	0.824356768814904	1.27756452635694	0	0.666302128173095
SYPL1	2.08990421010878	1.03159416055044	0.970043751262244	0.254231207375223
TALDO1	4.75868039850422	3.8573866574519	1.98775742888625	3.74939481828661
DYNLT3	6.1187633233693	5.75892589536368	5.48697174437041	2.93628929464866
DYNLT1	7.67339981044478	7.20961760943405	7.15348413857928	6.57507478688593
TSPAN7	6.56642071205221	7.11191770751068	5.59033254429577	6.67120843895481
TM4SF4	0.292920604723951	10.5821762891799	6.73142493792659	10.2383127765281
TMSB4X	5.94122992658938	7.50430327859221	8.10074432590191	6.86857565535355
TSG101	2.7913456635008	3.2501997985024	2.70935681287715	3.32850619169551
TTC1	4.32109452266505	2.17577728994613	3.19173634476984	2.70814308247464
UBE2N	5.18641097885159	4.79768380477242	5.06248009557664	4.70143261644153
UCHL1	7.83821214523975	2.64439712007082	7.96681976800739	7.38495897780198
UQCRC1	2.60810788618648	2.71146514924261	4.15489910018449	1.76922163334191
UQCRC2	2.18298941542514	3.29726512650192	2.90787129483636	2.85827945288285
UQCRH	5.92804394232923	6.38460533479684	5.32109830665186	6.38414653597847
UROD	1.13105800926339	0.622084751059631	0	2.17820470853368
VBP1	0.702419742625209	1.79041975475272	0	0
VDAC2	5.41365891642722	4.79897198796301	4.49437080550795	4.95101422072229
VDAC3	6.7028440838612	6.30373856833852	6.67744340691585	3.88858740506753
WRB	0.457796970956157	1.69575029248359	1.20608053821136	0.950095094173686
XBP1	5.20676388115937	5.02529489475679	5.6637943239668	5.34363877715453
ZFP36	0	4.51709921170532	2.48431861795048	4.36681876562201
BTG2	2.82202615945625	5.96203301997365	5.64313754868787	8.07262677491614
HIST1H4C	9.17766525918402	8.3248297058727	8.82598496352355	8.61215231535164
TAGLN2	3.51037941971566	4.07417692652794	5.05230720100172	2.1806252849257
UXT	5.30831457782986	5.66849842288152	4.1909387586597	5.81705015843252
HAT1	0	0.63146690520751	0	0
COPS3	0.632707687743761	0.930754928907168	2.97555682082321	0
DYNLL1	7.49976559505065	7.21891820517504	8.0090363868978	7.43792015158681
EIF3F	2.77349582506505	2.71525828873444	0.715717689222389	0.868686765322135
EIF3H	7.15355455927747	5.36575802639045	5.82195251439816	5.73055029411682
EIF3I	5.77550133875211	5.69692019476944	5.86376256170131	5.1585955515009
VAMP8	3.7265121056365	4.76400101871643	5.48839289399931	3.00916798887197
EDF1	5.83785748204085	5.22929450560843	5.51521097353979	5.58317906935534
SNX3	3.45573537078113	2.8245028469268	2.68826989467837	3.96070630513866
DLK1	6.80435309706221	0	0	0
SUCLG1	4.33049119771493	4.15216717403827	4.07971090388638	3.21147951359138
BANF1	4.25865739481834	4.83771618813244	4.36200691766824	4.0670363210131
PER2	3.56234016704435	5.18465972972576	5.11876254114001	4.05375432226871
CDC123	2.28702694191551	1.21055192730941	0.675454647744378	0.5358538940959
NAE1	1.90643052646692	1.00306192429204	0	1.02382309102213
ATP6V0D1	4.04983326042311	4.34944907600621	6.16679777905446	4.14587306160105
FIBP	0.86694666312177	1.61248330593927	0.762816525981106	0.396269112190937
TMSB10	5.55452482952175	6.34016969043775	5.24729714580908	6.69247601990288
ATP6V1F	7.13763354249933	6.75814740683724	7.31049190828716	6.56379115398485
TCEAL1	1.3116860800724	2.10927683833316	0.931077868003314	1.61541629726287
VAMP3	2.26919683791255	3.04748953457717	0.587364990936461	1.39165775425291
TXNL1	4.92087964569422	2.62873352308676	2.85147921347566	2.78968752423464
SEP15	6.47091133341731	5.70664151944734	5.98314182822712	6.01603047099083
GSTO1	4.5819349966573	3.42359159373541	4.00397095824009	5.33768611944607
STX8	2.21944382051142	1.1454138797264	3.64663502787359	0
EEF1E1	2.11257955349153	0	0	0
TECR	6.60103553763894	5.98392892600254	1.22570680984313	2.74556004660171
BAG4	1.91807009275183	0.0708938395158953	0.160145725404579	0
MRPL33	7.0583220393345	6.21746118408991	7.19449882035796	6.81315011458034
PRDX6	4.14541547012991	4.05945908812249	1.4115889465188	3.44174904700924
EMC2	4.61904638723019	1.96489640054314	5.13247402436537	0.883855381775317
HERPUD1	6.16077426297817	4.42460336122471	5.99401846641992	5.26004448014764
PDCD6	1.23527168885197	1.4037282132549	3.17295148433221	1.44392485793374
RWDD2B	3.40673046523239	0	0	0
PQBP1	2.25999488561632	0.643701719459745	2.69541483782834	0.574343753920013
ARPC3	7.33151424216774	7.41553686139558	7.22326228449124	6.93594174429951
ARPC2	5.89438447794078	6.75484154719837	6.77732239278656	5.91375349713335
TOB1	8.48133807406073	6.6555622027219	7.36063379091079	6.93653783015918
TXNDC9	1.14019484622401	0	0.372617844126292	0
BCAS2	4.01808573947854	3.52820007049066	3.27862415081109	1.9593621374826
EIF1B	6.66977783606652	5.87086772265659	5.7169881516361	5.34550637598474
AKR1A1	5.15719341607791	3.51982405964056	2.68674702488809	3.17713645295227
PEMT	6.99951099727127	7.63869141064239	1.28249911293597	0.954940735089093
CFDP1	4.06964111110512	4.73469240534144	5.68385643301862	4.82223557053342
TMEM147	2.3885201816825	4.53620191385974	2.54502932363692	1.67056844561957
IFI30	0	3.13706648132284	0	0
C1D	5.45961413322115	3.981403760071	5.07026051008329	1.19572554751206
TIMM17A	1.97994405091789	0.760643604458346	0	0.351967480859441
ACAA2	4.07109745066251	4.27370985076343	3.67483348038966	5.61976513077401
ECI2	3.76340450683622	1.98815505326872	1.76706149768049	2.34967665775356
HAX1	6.31507945544251	5.59184965160055	6.92899914414116	3.65632474713704
ATP5H	7.42721064336606	7.21470961522464	7.28774931206976	7.22252637965656
EIF3M	5.26892588919536	2.93008656126021	3.93897262600361	2.66721091248087
CIB1	0	2.22297254652674	0	0
LAMTOR5	6.89872367147338	7.10095758389339	7.03714717184337	6.75786199597082
PRDX4	5.76500074756566	6.50959050542526	3.51466514170714	4.42513699883836
ARL6IP5	7.42348648547424	5.59005966130607	5.57079077900856	5.91838384903591
ARPC1A	3.22920264792053	3.11370790097827	3.14776255746494	3.4984423630095
SIVA1	1.77393328184746	0	0	0
MYL12A	4.55626455634701	4.62830621720905	5.45835903530213	4.99852499223989
CGRRF1	0	2.23256491733218	0.45817198959259	1.02552496789589
DCTN6	0.896620603034399	2.37516228219373	2.98752097368313	0.793271654498083
EBP	0	1.02720569351952	0	0
CCT8	6.29343273247596	4.9489556262646	5.39255441749716	4.69923511990659
COPS8	2.44043047668186	1.58989325910668	1.05519565424213	0.528971317498367
PRDX3	8.39466746797114	7.81019957428584	7.94694895538047	7.10217624281357
MLLT11	1.70519642591096	2.06345109477682	0	0
COPS6	5.62275622123789	4.40123399405602	5.04262682886729	4.00373714574386
COPS5	0.890096425841093	0.663845544369258	0	0.87640889386885
C10orf10	1.29331141857135	4.88475041573026	0	1.94163219765448
STMN2	5.63325084385823	5.38166471454461	2.90502350237492	8.13316790576114
PLA2G16	1.69251893393168	3.58700486111799	3.9422611317669	0.814427373861248
LSM6	0	0	0	0
C14orf1	0.982100196789623	4.10770906395737	0	1.27453004467162
NUDT5	0	0	0	0
DCTN3	1.6504872417966	1.58382415818172	1.0010095332332	0
EXOSC8	3.19669018422729	4.11830537788708	1.1609201881811	0.800496147596486
MAPRE1	5.99901748101179	5.68225792949105	4.41412199919639	3.29898083328135
RAB21	6.38950174270015	5.12042146197284	6.23399923296393	1.96062291048707
SCFD1	5.30543271412249	4.51839842302753	4.96747298038668	5.16620928832699
COMMD3	5.31618455846356	4.38563656188328	4.75667106642198	3.00654937388386
SEC11A	4.68788383859455	3.89719996110364	3.92035047325412	4.64458312490306
SEC61G	6.87900787903879	6.73052351790213	7.00047443339801	6.37198045825122
SNAPIN	0.978376489418811	0	0	0
DDAH1	0.270768114724563	2.35970853183576	0.248899107076326	0.222433640605915
APOL2	5.90048758432901	1.50578159153958	5.50279839599326	5.40804265941806
TXN2	3.11696086554988	2.26979066831734	3.1524754987188	0.788100997912005
YIPF3	2.08735582268044	3.19759021598285	0.635150724032634	2.62543415699966
ANAPC13	5.53335353634672	5.81719851831636	4.8005168555928	4.6646307431579
C1orf43	5.81191043823168	4.14447917050408	4.30484685278429	4.67955891776437
NIPSNAP3A	1.75804147099444	2.93176605577766	0.301236440765232	1.3436352242829
UNC50	3.937845485721	1.8665150034622	1.5419112659359	1.87243479584022
HIGD1A	5.045184353447	6.82850591595771	0.863700623947478	0
REXO2	1.44106577705876	3.42403743204096	3.67427985137945	3.81536023812807
TMEM251	0	0	0	0
FAM162A	5.91920763693807	3.67722516176654	5.36268729359502	1.57961462939557
TIMM10	0	0	0	0
TIMM8B	3.8654524215393	3.38820744314338	2.72707091985909	3.13548561897604
CHMP2A	5.76466805240448	5.94619475710683	5.53817806571395	5.37840411072312
NFU1	3.98273390334149	3.78365141938875	2.3128394015691	2.98325813956459
MMADHC	5.50180354218905	5.24161003896896	6.07079502882263	4.10832372002525
LSM3	6.64606395927256	6.56538497042086	6.58931557088848	6.14807587677653
EIF3K	6.26639114824834	5.9916617110892	6.96452339543773	5.36062413491386
LAMTOR2	1.83296125244672	2.61176070585235	1.89312918601721	1.77959592475874
MRPS28	0.872380359325671	2.52898019976694	3.14955203769051	0
COA3	7.69412974330682	7.66550743978001	7.72611391361029	7.87234737056068
TMEM176B	0.933788102742979	8.25700325457317	6.3592417828551	7.24520185340226
C19orf53	5.56448239276991	4.95411447022691	4.83379078454038	4.36183151102999
MRPL42	5.6071013919428	5.15777777327548	6.32203629295805	4.90788571191108
TMEM14A	5.85734335540833	6.50888924292477	3.98347705311774	5.41108383620698
MRPL13	3.23213436314546	3.51948731316485	1.62784026504398	1.02233230009806
C1GALT1C1	0.925429508779451	2.15845965522184	0.614191558525291	1.44026123938797
MRPL18	2.57553133189633	2.00867845105811	1.29572302453997	0
METTL5	4.56646502164569	4.70723753943664	1.70708299177171	0.901726132650121
THYN1	4.48758556659923	2.33340798843758	0.792605513407689	3.08089638745338
TMEM208	5.71298151185947	6.28123875574865	5.94573410199934	3.53328923503455
SSU72	1.80872190035693	2.21267364103758	0.326997464565759	2.43084725248533
C16orf80	1.3861134474963	0.849438160821511	1.55493260188047	0
ALG5	1.8959625662651	0	0	0
C6orf48	5.33531139434246	4.47799480522262	1.72630809076549	3.12502284376372
DERL2	1.50360211914793	1.21353151363403	0	0
SLMO2	7.86506912773979	7.00974226123127	7.19105625262263	5.28612708347053
CCDC53	5.89517440926373	4.05226571835405	4.91679667704382	4.29669967169236
MRPS18C	4.25258549031406	4.47503430268805	1.47679641897715	3.1314413222776
FIS1	5.00270058083616	4.95419326443237	3.93660025178273	4.87606012313619
TVP23B	6.72543523979362	5.32377516359769	6.35660866634476	4.40873223793412
UBXN1	4.36257448513134	1.11341900309856	3.79983333472506	1.04229412620617
APIP	0.815310696796401	2.84279502111906	2.62105550329974	3.45692439807615
RPL26L1	2.58448411436891	3.35541023182551	3.09207209450293	2.16790381322296
IER3IP1	6.62158219503627	6.26993535954	6.25447121826166	5.74931167858733
NAA20	7.90142548628318	8.87681250504947	6.22428150094613	7.36201744138838
COPS4	3.53804179029381	1.32403148005446	0.858538066336536	0.886511128675248
VPS28	3.52291005305889	4.28469174276146	3.87269088447882	2.98904815469394
RSL24D1	5.05672539197284	2.3076961076305	2.35881820542763	1.41737997597302
DDX47	0.374452705821423	0	0	0.548436624696042
PIGP	4.81757187912782	3.99967337742404	4.49348722487798	1.23223095382554
GLTP	1.64581717378614	1.4502097160862	1.11149877670585	2.83009303213299
EMC4	6.69027312786581	5.57236332779325	5.75333443352246	4.82828122257449
PDZD11	0.86552550582152	0	0.41727194534353	0
NT5C3A	0	3.87609635881949	3.62543415699966	1.96764819623794
MRPL51	6.58946003044947	5.66350449789888	6.09924049199482	5.97102386023259
MRPL27	3.59938424356684	3.8126149282972	3.24229762531904	1.65420637794429
COA4	0	1.68459357724032	0	0
ERGIC2	3.82238519570414	1.99656960052872	2.5061449029796	1.77867117410358
TIMMDC1	2.81184536065039	1.6578863453836	3.30227517714312	1.23075637080115
NGRN	4.36338239525553	3.81484465021067	4.35115479642277	4.138052627011
POP5	0	0	0	0
ATRAID	6.96851874642877	7.10090802091863	6.57619861386652	6.53210964275182
ATP6V1D	6.721509941149	6.04315908577891	6.40661319740598	6.3355779375192
EIF3L	6.32314373285702	4.58143609644059	5.05626703710934	4.52743321627806
COMMD10	2.66663206838885	0.386511008369451	2.27521568665414	0
WDR83OS	6.69812450202847	6.73672898777982	6.63552659461251	6.38410680870587
TRAPPC4	5.47563976303224	5.29164683902522	3.95601017308635	4.68285416857223
RTCB	4.8451093538289	1.39180606822358	1.69443450387353	0.419107366784361
C11orf73	0.896364719468582	0	1.20795530462032	1.11709656577113
UFC1	5.45089227007626	5.85914037503608	5.93686404164956	6.17719427060746
RTFDC1	3.83193499058621	3.25326093858013	3.91220913376033	0.804136185183171
CHMP5	5.15552527392981	4.86091562883885	2.16610482120001	4.65840573356051
TMEM14C	5.53329978709455	4.59952126074371	3.03869955130559	4.23907720331174
JKAMP	6.07409858422695	3.94979719742507	5.72617455419501	0.890018587483822
PIGT	3.51361701399268	5.26254813342955	2.3764015265936	1.78513201531599
ERGIC3	3.06622140775196	5.7771079926527	6.12017773138932	4.19231254349882
DHRS7	7.04153881473856	1.20401547604078	5.08755618908588	4.38823087453065
C14orf166	6.26591311148314	5.41880618772131	2.22613856056934	5.42319156296536
SF3B14	6.24927536379395	6.31160414442756	6.46134028701054	6.64076840575873
MRPL48	0	0	0	0
FAM96B	4.65976264049268	5.82261767382582	5.34577956698165	4.44510426121192
MRPS33	5.88972174228736	5.01107657394831	5.02473189487783	2.89940768072484
MPC1	3.09115641616288	2.49014394536072	1.25960392980698	1.74273923285585
HSPB11	4.49092215748384	2.88681674984578	4.1263038693394	2.09750966959803
LSM7	0	2.85454064456228	2.77587229581344	0
VPS29	6.64830395275755	5.80981340141816	5.63869365730671	4.88988721155399
POLR3K	0	0	0	0
C9orf78	3.7495129603831	2.24869602760216	2.83053929130587	3.52403859393469
FXYD5	0	7.14138712997506	0	0.612022162808062
MRPL39	0	0	0	0
DPM3	5.1049198050456	5.8720092606563	3.53738304866581	4.36500657615387
ZFAND6	4.35833709760822	3.53847475890928	4.81948936814318	3.3268536939456
MRPL50	3.54283115116499	0.80642520401485	0.475811237140141	0.983750648354925
ING3	2.0843687605489	1.20186478495219	1.8543946777531	1.16844949223392
SDHAF2	2.1562509695599	0.757236368780645	1.05262456204547	1.50589092972996
LAMTOR1	4.50425266250868	3.06574419040555	4.57979562464614	3.37960710058404
SLC38A4	0	5.9698229130676	1.5760867241794	0
PNPO	5.94251295749144	4.73934055122778	3.89663998458489	0.927289673827803
MRPS18A	0.165451270350677	0.835800995072589	1.77753544210808	0
TMEM176A	0	6.08603643648685	3.52000729616574	5.11973381819847
NOP10	6.99340363461698	6.99518618284014	7.72151962859873	7.10645825129215
NHP2	5.31275047375483	4.88007064470048	3.34026316007665	2.75648960675997
SLC48A1	0.50160812036952	1.35719475259281	0	0.403594950641665
EAPP	5.07456888488945	3.15218341677323	3.11623166060415	3.52407621653495
BRK1	7.10339096282122	6.78818905049099	6.4893663128583	7.34346911776773
PSENEN	1.45357131871074	2.924330198469	2.88951248114303	1.83899209329374
ACTR10	5.36180337626222	4.46477210970318	2.59433356241734	2.8030616750913
TMEM126B	6.0619357797535	4.48014442248864	4.50006904916584	4.38529297364579
NDUFA12	7.56536801408782	6.96941463985359	7.58448077055224	6.64261927002883
BEX4	6.53415928055804	6.04998652710624	6.96055572795627	6.64071057315433
DNAJC12	6.20266938856474	5.51922221068801	6.42449720972476	5.453734856036
MUC13	0	4.41502779005727	0	0.711583007473961
SAR1A	7.64425071069551	6.98046572328295	7.6645468386266	6.91661875723101
EMC7	1.45903547220686	3.82866851708042	4.37521323955639	2.87044363407689
CMC2	3.95054226860548	4.58944714623668	3.59444105998846	2.86998981677988
C5orf15	3.88239321968347	4.37150275141386	2.52308516065557	3.99635258822406
NIT2	0	0	0.857423708732307	0.786429083203056
POGLUT1	2.57084474204934	1.90447181243839	0.354903461135643	0.689567543950467
PSMG2	2.71730780095753	2.10136091155797	4.20772889970742	0
MRPL47	2.71071738989352	2.25241428962461	2.6512469083442	0.814263291399782
ARRDC3	6.25176369785433	5.39621939458822	7.17259552157724	4.37676962748581
G6PC2	8.73805381093005	4.23983509449374	0	3.07411148436227
LSM2	0	2.93704529000134	0	0.830742090760915
