beta	ductal	delta	schwann	quiescent_stellate	endothelial	gamma	alpha	macrophage	immune_other	activated_stellate	B_cell	T_cell
Anxa4	0	1.58949063158687	0.860028406266514	0	0	0	0	0	1.03866310382653	2.01571850465729	0	0	0
Anxa5	1.69095894042656	3.0039075804487	2.10723282549162	2.88253587477219	2.93332636030515	2.39777479569214	1.76890649303436	2.03086301616859	2.51858885414016	1.98175486723611	2.51126948566596	0	0
Apbb2	0	0	0	0.317462446196933	0	1.8599904448375	0	0	0	0	0	0	0
Aplp1	1.50649645165536	0	2.07240872851891	0	0	0	2.49619154380057	3.21057208158411	0	0	0	0	0
Apoe	0	0	0	1.16291648226176	0	0	0	0	5.65893879648075	0	2.17043991750381	0	0
Apold1	0	0	0	0	2.25668977581096	1.16474310506484	0	0	0	0	0	0	0
Arg1	0	0	0.948826460225721	0	0	0	0	0	0	0	0	0	0
Arpc1b	0	1.6256074160571	0	2.73348265776469	1.50865488364125	2.13346585351493	0	0	2.28967113032128	2.51779683873247	2.24541241542555	2.04531741044098	2.26058545353588
Arrdc3	0	0	0	0	1.22805135536341	1.58768265944681	0	0	0	0	0	0	0
Atf3	0	0	0	0	0	0	0	0	1.30961281637982	0	0	0	0
Atf5	2.13453893800673	1.2248348939687	0.871092479381684	1.64573520519859	2.70757925367432	0	0	0	0	0	2.02531049778917	0	0
Atp1b1	0.965988458487363	1.87757700241339	1.62476611780518	0	0	0	0.713263561899261	0.718934430140546	0	0	0	0	0
Atp2a2	2.28229559130836	0	0.96604069214742	0.315877153325481	1.60729247526939	0	0.745005173952089	0.778048472271489	0	0	0	0	0
Atp6v1b2	1.57540829672672	0	1.55141900993268	0.315877153325481	0	0	1.38145153483322	1.68255467209465	1.07238454837972	0	0	0	0
B2m	0	1.46768495430892	0	3.64747255895674	2.88864764307948	4.28811675459452	0	0	5.61311972890238	5.73526498458529	3.0537157386805	4.71575034580164	5.29239293969452
Bace2	1.69829843556354	0	0	0	0	0	0	0	0	0	0	0	0
Basp1	0	1.87201451318204	0	0	0	0	0	0	2.80282380112257	3.07927404432364	0	0	0
Bhlhe40	0	2.05974071658089	0	0.702545236920353	0	0.769109616531686	0	0	0	2.68469260519613	0.615279623093839	0	0
Bicc1	0	1.56520797626005	0	0	0	0	0	0	0	0	0	0	0
Bnip3	1.70628309746862	0	1.40076160457802	0	0	1.27673080843599	1.03585147874422	1.80857833723635	2.01251979011101	0	2.00421430185982	0	0
Btg1	0	1.90956338523107	0	0.537154685801778	2.0166570575871	1.79558550301878	0	0	2.4499615047587	3.70059847694472	1.91756911802376	3.18958768291434	3.23931595199942
Btg2	0	0.762191038564057	1.47998053117433	0	0	1.05584645982313	1.33806679075125	0.985770447092723	0	0	0	0	0
C1qa	0	0	0	0	0	0	0	0	3.12012353094291	0	0	0	0
C2cd4b	0	0	0	0	0	0	0	0	0	0	0	0	0
C3	0	0	0	0	0	0	0	0	0	0	1.70117740602162	0	0
Cadm1	0	0	0.267223007295096	0.938770878070283	0	0	0	0	1.04231911102805	0	0	0	0
Cald1	0	0	0	2.05595421870217	2.76433361662727	0	0	0	0	0	3.47082365480337	0	0
Camk2b	0.690329225398944	0	1.32334006807515	0	0	0	1.1884119459558	1.1533258628857	0	0	0	0	0
Card10	0	0.83163488381987	0	0	0	0	0	0	0	0	0	0	0
Ccl5	0	0	0	0	0	0	0	0	3.6036954641803	4.8229153032438	0	0	0
Ccnd2	2.71080728912231	0.762191038564057	2.4728084201164	0.315877153325481	2.32984440195144	0	1.88819779595077	2.23390117896807	0	0.584668438866017	1.61235211919546	0	0
Cd14	0	1.9877464651712	0	0	0	0	0	0	2.7411181675449	0	0	0	0
Cd164	2.61853318822366	1.27806102054643	2.72509785014237	1.70501381144645	1.60729247526939	1.35498323532953	2.87037849032344	2.35856161573348	0	0	0.371343611067417	0.353522534360156	0
Cd24a	0	1.60530751907387	2.18442746050621	0	0	0	0	0	0	0	0	0.845257080271639	0
Cd2ap	0	1.79966573473073	0	0	0	0	0	0	0	0	0	0	0
Cd34	0	0	0	0	0	1.74421242706422	0	0	0	0	0	0	0
Cd44	0	2.72038942445016	0	3.118835006817	0	0	0	0	1.11462629136751	0	2.3571237207506	0	0
Cd53	0	0	0	0	0	0	0	0	2.78579781710128	0	0	1.93155933563376	2.72878583380651
Cd63	2.62552461574455	2.12032799272428	2.96410627699505	4.08903345622079	2.89668649585863	0.760871951691053	2.07432329207109	2.45362921941281	2.93405200492704	0.789801189862213	3.66308155201293	0	0
Cd74	0	0	0	0	0	0	0	0	6.67833271071524	4.05185553126086	0	5.61844723079712	0
Cd81	0	1.68475727642473	1.50785968918004	1.89332394227412	1.67904377856281	1.45031066728098	1.37988061547336	1.40741807825141	1.73618568161511	0	1.72838952280725	0.539939429927358	0
Cd9	0	1.18122925510769	0	1.70194444098718	0	0	0	0	1.75476100573248	0	0	0	0
Cd93	0	0	0	0	0	2.29144492684641	0	0	0	0	0	0	0
Cdc42ep1	0	0.508495977203232	0	0	0	0	0	0	0	0	0	0	0
Cdh1	0.593573233108584	2.94815962637897	1.21040153860098	0	0	0	0	0	0	0	0	0	0
Cdh5	0	0	0	0	0	3.57386982192335	0	0	0	0	0	0	0
Cdk6	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn1a	0	0.920187839897511	0	1.81240265886203	2.04086100951596	2.40144915949348	0	0	0	2.34559029003275	1.2851688520443	0	0
Cebpb	0.73682933841581	2.00327744712834	0	1.25764949470835	2.99447010602597	1.45733501275167	0	0	2.342844846335	0	2.53747641004923	0	0
Cela1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chac1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chga	4.57729948303303	0	3.15529348015429	0.633339599522415	0	0	2.62767140330252	4.50370184871159	0	0.561600228867886	0	1.83573479655881	0
Chgb	2.71279817034771	0	4.09042854404927	0.266602429137951	0	0	2.63770256211165	2.03559361845084	0	0	0	0	0
Chka	0	0	0	0	0	0	0	0	0	0	0	0	0
Cldn3	0	2.00218984881348	0	0	0	0	0	0	0	0	0	0	0
Cldn4	0	3.29920814534898	0	0	0	0	0	0	0	0	0	0	0
Clic4	0.632854909437662	2.34995192396672	0	2.29884620075853	1.86044966700012	2.66835605947083	0.848985753446101	0.737592906766919	1.13861654315556	2.6086846186686	0.939000524409104	0	0
Clu	0	5.85094161354618	2.330745370316	0	0	0	1.45477219150204	0	0	0	0	0	0
Cnn2	0	0	0	0.929569359715813	0	0	0	0	0	2.89129348526297	0	0	2.26058545353588
Cnn3	0	0	0	1.8038162053232	1.32507348066421	1.78597788116675	0	0	0	0	0	0	0
Col13a1	0	0	0	0	0	0.871099031979297	0	0	0	0	0	0	0
Col18a1	0	0	0	2.24259416839002	0	0	0	0	0	0	0	0	0
Col4a1	0	0	0	0.871299324857425	2.76640716861484	3.36049709393895	0	0	0	0	3.1643112439052	0	0
Col4a2	0	0	0	1.00426158694095	2.49453664324778	3.27766639814527	0	0	0	0	1.92475531026207	0	0
Coro1a	0	0	0	0	0	0	0	0	2.22434026850791	2.04512055097228	0	3.23747200506706	2.26058545353588
Cp	0	1.03059053333445	0	0	0	0	0	0	0	0	0	0	0
Cpe	3.28244587443725	0	2.83545696967985	1.77144630094278	0	0	3.50984816502848	4.0223864173965	0	0	0	0	0
Crip2	0	0	0	1.02120257398578	0	1.22141628385409	0	0	0	0	0	0	0
Csrp1	0	2.06855993371433	0	0.656321592000471	1.88819779595077	1.18799704769805	0	0	0	0	2.13847795950341	0	0
Ctgf	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctla2a	0	0	0	0	0	2.6672689940383	0	0	0	0	0	0	0
Ctla2b	0	0	0	0	0	1.57502548041833	0	0	0	0	0	0	0
Ctnna1	0	2.15500064046799	0	1.00192221923276	1.29338715946986	1.5577468262951	0	0	0	0	0.782791545551974	0	0
Ctnnd1	0	2.09117903619402	0	0.595417612201671	0	1.01394471980765	0	0	0	0	0	0	0
Ctrb1	0	0	0	0	0	0	0	0	0	0.75225744340296	0	0	0
Ctsc	0	0	0	0	1.64858189889763	0	0	0	2.49814828009071	0	1.83373211273349	0	0
Ctss	0	0	0	0	0	0	0	0	4.11550911800677	1.72571528454298	0	1.29693000706609	0
Ctsz	0	0	0	0.270720009003585	0	0	0.713263561899261	1.42613863151981	2.38322679257924	2.44978689049822	0.209308087524121	0	0
Cxadr	0	1.4490413830857	0	0	0	0	0	0	0	0	0	0	0
Cxcl16	0	1.1151534729209	0	0	0	0	0	0	1.20258771879464	2.6086846186686	0	0	0
Cxcr4	0	0	0	0	0	1.03600706032603	0	0	1.01369200864456	0.470044369471937	0	0.353522534360156	1.71398655560619
Cyb5a	0	0	0	0.702545236920353	0	0	0	0	0	0	0	0	0
Cyba	0	0.805264807461724	0	1.36106896169738	0	0	0	0	2.47031932361061	2.18816760145781	0	0.347398600843332	0
Cyr61	0	2.06382443643498	0	1.81240265886203	0	0	0	0	0	0	1.1225885555773	0	0
Cytip	0	0	0	0	0	0	0	0	2.16865149232012	4.5568941516028	0	0.934406333720491	1.85140467318243
Ddit4	0	0.960502775252305	0	0.327506408936751	0	1.33846748718289	0	0	0	0	1.97471714234457	0	0
Dlc1	0	0	0	0	1.22805135536341	0	0	0	0	0	0	0	0
Dll4	0	0	0	0	0	1.73019925752056	0	0	0	0	0	0	0
Dmbt1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb9	1.31166439271173	0	1.31173188140109	0	0	0	1.23386386773047	0	0	0	0	0	0
Dsg2	0	2.04222548060254	0	0	0	0	0	0	0	0	0	0	0
Dusp1	0	2.2881348510318	0	0.315877153325481	1.03305931690661	2.63180431308549	0	0	2.12851323661107	2.38312091117501	0	0	0
Dusp6	0	0	0	0.317462446196933	0	1.6477415153332	0	0	0	0	0	0	0
Dusp8	0	0	0	0	0	0	0	0.727765717390598	0	0	0	0	0
Edn1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ednrb	0	0	0	0	3.49006621851024	2.07314405572661	0	0	0	0	0	0	0
Efhd2	0	1.68891557170424	0	0.598226417940336	1.68962564049029	0	0	0	2.46627744719042	1.66330007347596	0	0	0
Efna1	0	0	0	0	0	1.48084899573963	0	0	0	0	0	0	0
Egfl7	0	0	0	0	0	3.24431547425871	0	0	0	0	0	0	0
Egr1	0	1.36243392401842	1.98294981759167	0	1.52298926355898	0	1.37988061547336	0	0	0	1.3478449701112	0	0
Ehf	0	0	0	0	0	0	0	0	0	0	0	0	0
Emcn	0	0	0	0	0	2.49978650554619	0	0	0	0	0	0	0
Emp1	0	0	0	1.57422258960918	0	0	0	0	0	0	0	0	0
Enc1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eng	0	0	0	0.317462446196933	0	2.19686893455825	0	0	0	0	1.2851688520443	0	0
Epas1	0	0	0	0	2.09569995813161	1.95174267371892	0	0	0	0	0	0	0
Eprs	1.52344036092368	0.807303681444151	0.652247417214399	1.00192221923276	0	0	0.618468631482782	0.742100260658967	0	0	0.479720186148291	0	0
Ero1l	0.733756211715055	0	0	0.270720009003585	0.726715260730675	1.05811799978716	0	0	0	0	1.71898518921636	0	0
Ero1lb	1.78196741381263	0	0	0	0	0	0	0	0	0	0	0	0
Errfi1	0	1.53943007163011	0	0.822639980261176	0	0	0	0	0	0	2.14111933015363	0	0
Esam	0	0	0	0	1.55404538554344	2.75207000860257	0	0	0	0	0	0	0
Esm1	0	0	0	0	0	4.1782350621899	0	0	0	0	0	0	0
Ets1	0	0	0	1.25998886241654	1.20772669491551	1.69721134014073	0	0	0	0	0	0.845257080271639	3.48133590578165
Etv1	0	0	0	0	0	0	1.13230666805631	1.07869241051053	0	0	0	0	0
Ezr	0	1.6049111754493	0	1.3280162776429	0	0	0	0	0.480783810106358	0	0	0	0
F11r	0	2.0146700196353	0	0	0	1.60076253740221	0.745005173952089	0	0	0	0	0	0
F3	0	1.77054783949807	0	0	0	0	0	0	0	0	0	0	0
Fabp4	0	0	0	0	0	0.871099031979297	0	0	0	0	0	0	0
Fam107b	0	0.776157992175557	0	0	0	0	0	0	0	0	0	0	1.71398655560619
Fam151a	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam43a	0	0	0	0	0	1.06515916210536	0	0	0	0	0	0	0
Fam46a	0.975691108583967	0	1.62387830607994	0	0	0	0	0	0	0	0	0	0
Fbln2	0	0	0	0.315877153325481	0	0	0	0	0	0	0	0	0
Fcer1g	0	0	0	0	0	0	0	0	3.63562060904892	0	0	0	0
Fermt1	0	1.53009010148514	0	0	0	0	0	0	0	0	0	0	0
Filip1l	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp1a	1.61589202175994	1.73961852931733	1.6431891500884	3.03692586855555	1.96423472669848	3.40926625814651	0.713263561899261	2.01732041244761	1.40581810662873	0	2.02531049778917	0.539939429927358	0
Flna	0	2.74760676433262	0	3.28646979951527	1.50865488364125	0	0	0	1.59937592547876	2.11233354570511	2.72932656388441	0	2.65024120954812
Flt1	0	0	0	0	0	3.57738963802958	0	0	0	0	0	0	0
Fn1	0	0	0	0	0	0	0	0	0	0	0.615279623093839	0	0
Fndc3b	0	0	0	1.00192221923276	1.14539612670277	0	0.799120066104102	0	0	0	1.19547187445595	0	0
Fos	0	0.416106589901083	1.48007210849982	0.86363050115731	0	0	0	0	1.19415190358295	0	0	0	0
Fosl2	0	0	0	0.643383562262233	1.17579214572109	1.36132457432198	0	0	0	0	0	0	0
Fscn1	0	0	0	1.40787065758066	0	2.17643229772541	0	0	0	5.20548645483395	1.3478449701112	0	0
Fstl1	0	0	0	0.853031839127259	2.11179739312783	0	0	0	0	0	2.44454583141741	0	0
Fth1	1.90004036189581	2.79334235527195	1.98860296374759	4.8696642584474	3.59269540577631	2.92977352296057	1.83108062956831	2.32441839589612	7.91644788246696	3.62849607943649	3.75828006865296	3.56848063233947	1.93148925401637
Ftl1	2.28534125928194	2.17960825166907	2.20229390383026	3.05895631485833	3.14417109960429	2.70803087896107	1.76890649303436	2.29812553342587	6.0774055770179	4.52536749926746	2.29648528039015	2.11133167130436	1.85140467318243
Fxyd5	0	0	0	1.24014073875389	1.29338715946986	1.01394471980765	0	0	2.49476705725453	0	1.28558571037177	0	2.26058545353588
G6pc2	2.4570316225097	0	0	0	0	0	0	0	0	0	0	0	0
Gabrp	0	0	0	0	0	0	0	0	0	0	0	0	0
Gadd45b	0	0	0	0.584064875334884	0	0	0	0	0	2.64357689225887	0	0	0
Gc	0	0	0	0	0	0	1.85267770579448	1.66774481918873	0	0	0	0	0
Gcg	1.50758300920106	1.53816551449248	1.9421963929652	0.942507389454052	2.22902316010741	1.57654787580602	2.0695452850362	10.2399461749246	1.29066833734999	1.90548356876898	1.47028939094137	1.63715994283822	1.86348700078122
Gdf15	0	0	0	0	0	0	0	0	0	0	0	0	0
Gimap6	0	0	0	0	0	1.41040159874193	0	0	0	0	0	0	0
Gja1	0	0	0	0.586597162329066	0	1.28819405929086	0	0	0	0	0	0	0
Glul	0.595879490221135	0	0	0	0	0	0	1.02629961887217	1.52432325848093	0	0	0	0
Gm10073	0	0.90676735441697	0	0.656321592000471	0	0	0	0	0	0	0	0	0
Gm10263	0	1.90956338523107	0	1.16705903513372	1.50796316120891	0	0	0	0	0	0	0	0
Gm13889	0	0	0	0	4.48133468549314	0	0	0	0	0	0	0	0
Gm21092	0	0	0	0.266602429137951	0	0	0	0	0	0	0	0	0
Gm4076	0.920767679112957	0	0	0.270720009003585	0	0	0.877999493663283	0.771134197532337	0	0	0	0	0
Gnas	2.73568819156834	2.35920241738339	4.38836621577347	3.14675286105306	3.32504458000566	2.8674939387288	4.08955606848422	5.16787327963704	1.30566922054573	1.85788612729697	2.97428023930927	2.83093974495204	3.15649101921873
Gng11	0	0	0	0	1.07920055466095	1.05811799978716	0	0	0	0	0	0	0
Gng12	1.70824014879972	0	0	0	0	0	0	0	0	0	0	0	0
Gpihbp1	0	0	0	0	0	0.788440020681929	0	0	0	0	0	0	0
Gpx3	0	0	3.4182885889967	0	0	0	3.16124235422444	5.01903835406784	0	0	1.04737709948998	0	0
Gsdma	1.12068208378181	0	0	0	0	0	0	0	0	0	0	0	0
Gsta4	0	0	0	0.598226417940336	0	0	0	0	0	0	0	0	0
Gstm1	0	0	0	0	0	0	1.37988061547336	0	0	0	0	0	0
Gsto1	0	0	0	0.266602429137951	0	0	0	0	0	1.80941297829451	0	0	0
H2.Aa	0	0	0	0	0	0	0	0	5.86184598504931	2.28745087432755	0	4.56534567561398	0
H2.Ab1	0	0	0	0	0	0	0	0	3.58453654267142	0	0	2.52946056335446	0
H2.Eb1	0	0	0	0	0	0	0	0	5.58265605421062	1.89050086249974	0	3.45982045277616	0
H2.Q7	0	0	0	0.270720009003585	0	0	0	0	2.04329174085948	2.64737532555311	0	0.539939429927358	0
Hadh	1.24472913476787	0	0.847617664414529	0.824556887664076	0	0	0	0	0	0	0	0	0
Hbegf	0	1.15352071530842	0	0.32881518306372	0	0.730178445865299	0	0	0	0	0	0	0
Hdgf	0.607692289515385	2.20255892427709	0	2.82647796803092	1.56783792647579	1.17316064904563	1.13230666805631	0.754265105004365	1.59505076299365	0	1.55902312844947	0.88733803077069	0
Hes1	0	1.22627454585302	0	0.270720009003585	0	0	0	0	0	0	0	0	0
Hey1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhex	0	0	1.72377180739011	0	0	0	0	0	0	0	0	0	0
Higd1a	0	0	0	0.784569347336105	0	0	0	1.08860613987982	0	0	1.1225885555773	0	0
Hilpda	0	0	0	0.270720009003585	1.68962564049029	0	0	0	0	0	0	0	1.86348700078122
Hist1h1c	0	0	0	0	0	0	0	0	0	0	0	0	0
Hk1	0	0	0	0.807874694805363	0	1.18976248130259	0	0	0	0	0	0	0
Hmox1	0.993912164511632	0	0	2.35785016359416	1.86044966700012	1.73019925752056	0	0	3.63071805504047	0	1.27070361185736	0	2.26058545353588
Hsp90b1	2.65983544140634	1.43244744002596	3.00946083797141	1.08865219675408	2.13195470186571	1.77474879376939	2.48630267962162	2.69064762177721	1.94063343498034	0	2.11868307353444	0.845257080271639	0
Hspa1a	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa1b	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspb1	0	1.27407920565558	0	2.47475995915851	1.08413856616053	1.20068465104143	0	0	0	0	0	0	0
Hsph1	0	0	0	0.794613310075923	0	0	0	0	0	0	0	0	0
Iapp	7.72540388061197	1.99742057826744	7.33664429686445	1.67929887167042	2.45429086887066	2.22944267903784	3.15378474436104	3.54040788866465	2.18707817229259	2.51779683873247	1.86987815643673	2.84145495893328	3.33951430239775
Icam1	0	0	0	0	0	0	0	0	0	0	0	0	0
Id1	0	0	0	1.03283182959705	1.20772669491551	2.16157262565866	0	0	0	0	0	0	0
Id2	0	0	0	0	0	0	0.713263561899261	0.805079979013606	2.05949533669184	2.73018316307456	0	0	0
Id3	0	0	0	0	3.15209654731023	3.52055283117532	0.799120066104102	1.07321942571815	1.02917528069309	0	1.65161330980242	0	0
Ier2	0	1.53816551449248	1.18555153051655	0.467106901139171	1.88166755298019	1.19983696405679	1.31038609012135	0	0	0	1.20472875067454	0	0
Ier3	0	2.56884758529707	0	1.81959426041678	3.98372981195218	3.10063452884949	0	0	0	0	3.52544918880862	0	0
Ier5	0	0.739684177800364	0	1.16752908505082	1.50606448241727	0.889073781100059	0	0	1.23980521197345	2.48664763086737	0.580192251362115	0	0
Ifitm3	0	0	0	1.48804234049762	1.87462748104577	2.08596324372815	0	0	1.93515188634086	0	3.10065052826785	0	0
Ifrd1	0	1.35416077190399	0	1.50810781088946	1.57161185757861	1.00088063576933	0	0	0	2.19306193370258	0	0	0
Igf1r	2.54200321507742	0.77181148486781	0	1.00192221923276	0	0	0	0	0	0	0	0	0
Igfbp3	0	0	0	0	0	4.15451128740236	0	0	0	0	0	0	0
Igfbp5	0	0	0	0	5.25922253758157	0	0	0	0	0	0	0	0
Igfbp7	0	1.89162541847292	1.27580508807871	1.68557734913854	3.68192113477608	3.50407647462976	0	0	0	0	3.20971219167291	0	0
Il11	0	0	0	0	0	0	0	0	0	0	4.62725430397787	0	0
Il1r1	0.848038462808731	0	0	0	0	0	0	0	0	0	0	0	0
Il1rn	0	0	0	0	0	0	0	0	1.19608404560893	0	0	0	0
Inhbb	0	0	0	0	0	2.40325797503267	0	0	0	0	0	0	0
Insm1	1.33043668850047	0	1.1685022667594	0	0	0	0	0	0	0	0	0	0
Irf2bpl	0	1.32185635751894	0	0.327506408936751	0	0	0	0	0	0	0	0	0
Isl1	0	0	1.60275766839009	0	0	0	0.857733065843178	0.870664677976001	0	0	0	0	0
Itga3	0	1.04527345719115	0	0.317462446196933	0	0	0	0	0	0	0	0	0
Itgav	0	0	0	1.46259470643879	0	0	0	0	0	0	0	0	0
Itgb6	0	0	0	0	0	0	0	0	0	0	0	0	0
Jun	0	2.23660341443137	1.53962519643256	1.58601177732341	1.31025841814591	1.6035256679924	1.76710495144708	1.04305903625884	0	0.814949785615676	1.45582415075443	0	0
Junb	0	2.9917045022056	1.51827851018205	0.852277764290524	2.11179739312783	2.24112451563652	0.867852216571264	0.98464926216515	0.478793508560244	2.0936608725669	2.24167451768073	0	3.14168466148083
Jup	0	1.11751836961944	0	0	0	0.769109616531686	0	0	0	0	0	0	0
Kdr	0	0	0	0	0	3.86851237229842	0	0	0	0	0	0	0
Klf3	0	0	0	0.588182455200518	0	0	0	0	0	0	0	0	0
Klf4	0	0	0	0	0	0	0	0	0	0	0	0	0
Klf6	0	2.04839193255488	0	1.05563768314952	0.941234669631933	0	0	0	1.44042386384373	2.17608856323165	0	0	0
Krt17	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt18	0	3.73272699618842	0.712667137246831	0	0	0	0.714347013468362	0.975499538944039	0	0	0	0	0
Krt19	0	1.20110896952209	0	0	0	0	0	0	0	0	0	0	0
Krt8	0.742926178651119	4.94762336573565	1.33174979780177	0	0	0	1.04997182994296	1.42262574901623	0	0	0	0	0
Lamb1	0	0	0	0	0	1.6640874075331	0	0	0	0	0	0	0
Lamc1	0	0	0	0.633339599522415	0.926436005708313	1.35994061025562	0	0	0	0	0.209308087524121	0	0
Laptm5	0	0	0	0	0	0	0	0	3.26010992013949	0	0	2.20177304793772	2.47542790899956
Lasp1	0	1.38016595141096	0	1.67902201624662	0	0.617337778945241	0.842341915001739	0	0.945300990490958	0	0	0	0
Lcn2	0	2.24937489310507	0	0	0	0	0	0	0	0	0	0	0
Ldha	0	1.73160487747023	0.814104511098474	2.54791938084021	3.59367370798285	2.86854198779787	0	0	2.86903405273034	0	3.49186087844442	0	3.8117348596532
Lgals3	0	0	0	2.24753296245284	0	0	0	0	4.19680001912997	0	0	0	0
Lgals3bp	1.48532335098296	0	2.23056785914637	0.853031839127259	0	0	1.98555800804436	2.42764652288065	2.62619338761563	0	1.45582415075443	0	0
Lgmn	0	0	0	0	0	0	0	0	3.19697376747068	1.25984555933415	0	0	0
Lif	0	0	0	0.733709330277122	0	0	0	0	0	0	3.25135875741895	0	0
Litaf	0	0.991842551608077	0	1.02094377979966	1.38503615212811	1.73019925752056	0	0	1.48964543042803	0.470044369471937	0	0	0
Lmo4	0	0	0	1.58131722004985	0	0	0	0	0	0	0.567656913341687	0	0
Lpar6	0	0	0	0	0	0.965986107347515	0	0	0	0	0	0	0
Lpl	0.65999779135976	0	0	0	0	0	0	2.09933320031941	0	0	0	0	0
Lrrfip1	0	0.888055135135066	0	0.315877153325481	0	0	0	0	0	0	0	0	0
Lurap1l	0	1.48217952403072	0	0	0	0	0	0	0	0	0	0	0
Ly6a	0	0	0	0	0	1.08260102625626	0	0	0	0	0	2.29509004511433	0
Ly6e	0	2.34630791322402	0.915310753512066	0	0	1.25677466169299	0	0.975911605267568	2.17348780688764	0	1.50221959051379	4.04546008588525	2.72878583380651
Lyz2	0	0	0	0	0	0	0	0	3.66494393625484	0	0	0	0
Mafb	0	0	0	0	0	0	0	1.14042666524268	2.48905975331528	0	0	0	0
Maff	0	0.807303681444151	0	0	1.22805135536341	1.47720338453807	0	0	0	0	0	0	0
Maged1	2.91754247508879	0	2.67616042676311	0	0	1.19983696405679	2.4715416616277	2.47003440389433	0	0	1.1478491647038	0	0
Manf	2.3349913236965	0.805264807461724	2.33774400961589	1.26225708662146	1.98539809517096	1.29662436857817	1.87518848208803	2.02621370486152	1.43506527500783	0	2.37959418656352	0	1.86348700078122
Map1b	1.07698209008424	0	1.2767343500476	0.78964025596172	0	0	0.714347013468362	0.865808761770036	0	0	0	0	0
Marcksl1	0	0.779688766323104	0	2.107468819672	0	0	0	0	0	3.79779327703895	0	0	0
Mast4	0	0	0	0.584064875334884	0	0.929530995742788	0	0	0	0	0	0	0
Mat2a	0	0.655498197642461	0	1.45223022659259	1.17579214572109	0.893744951324756	0	0	0	0	1.1478491647038	0	0
Mcam	0	0	0	1.12751180564168	0	1.73019925752056	0	0	0	0	0	0	0
