interneurons	s1pyramidal	ca1pyramidal	oligodendrocytes	microglia	endothelial	astrocytes	ependymal	mural
Aldoa	4.85721616711074	4.86250379506163	4.80176110387191	2.80440327446516	2.0213311502014	2.32231176454168	3.3633063478816	2.88382118405758	3.19747353357268
Atp6v0d1	2.43027450521176	2.44690335666065	2.30128347567824	0	0	0	0	0	0
Sult4a1	2.40083418578126	2.650722187645	2.09445662127216	0	0	0	0	0	0
Atp6v1b2	3.2561178435961	2.90205448444011	2.94478175814355	0.996790828551285	0	0	0	0	0
Mllt11	3.44217739395746	3.19588270242625	2.96927820889664	0	0	0	0	0	0
Cplx1	3.55304451187578	1.89903630001556	1.09557038576813	0	0	0	0	0	0
Slc25a3	3.5429933490714	2.94087114490726	3.12965585633031	1.51774684601653	1.83347315125006	0	2.72769651259323	1.91124354333758	0
Klc1	2.68286974599774	2.35408804550709	2.41419053639267	0	0	0	0	0	0
Ntrk2	2.85075318680714	2.52928237482166	2.39650452475746	0	0	0	3.82203025735441	3.62038288284198	0
Syt1	5.45456837608336	4.91268174747639	4.66504697098221	0	2.01910559390592	2.08038764479223	1.5170875716426	2.31599101636447	3.09599756143513
Ndrg4	4.46840178194847	3.88323650537992	3.56418275309006	0	0	0	0	0	0
Rab3a	3.42107864511925	3.00609823588304	2.99254409654324	0	0	0	0	0	0
Celf4	3.84303814714936	3.47879530412573	3.31253593438575	0	0	0	0	0	0
Syp	2.80194229110442	2.86932316090851	2.83136570042326	0	0	0	0	0	0
Atp6v0c-ps2	4.73005378844798	4.39433988869833	4.22458785620882	2.37347842244306	2.43378424522524	1.43938423352473	2.44695263003923	2.59854799756958	1.74733334721749
Rab6b	3.20545526715676	2.96783168251087	2.59219059521872	0	0	0	0	0	0
Tceal5	2.33061218731464	2.19503867799823	2.0200105807634	0	0	0	0	0	0
Atp6v1a	4.5907957724653	4.17253655039725	4.3141014596503	2.699848490203	3.02217997737803	1.95496463765703	1.77694213021603	2.53933623179646	0.576003907478185
Ywhag	4.11180097586655	3.80006763663338	3.57310561075742	1.31895181920729	0	0	0	0	0
Snurf	4.17985576398862	3.82170833978205	3.73088109678745	1.72439126046348	0	0	0	1.14117878739019	0
Nrip3	3.37942030063626	1.17197005691553	0.44414980663269	0	0	0	0	0	0
Slc6a1	3.68683899722456	0	0	0	0	0	2.89742516029555	1.85598555653667	0
Cadps	2.84993450946256	2.04834902352894	1.85984613909551	0	0	0	0	0	0
Gad1	4.71977866134161	0	0	0	0	0	0	0	0
Gad2	4.41297551793749	0	0	0	0	0	0	0	0
Nrsn1	2.24461802397647	2.07998980105743	1.41272498416846	0	0	0	0	0	0
Dner	3.67791202517276	0	1.40189938908665	0	0	0	1.83350980824364	0.669376795301683	0
Gabrb2	3.25141565390242	2.78864882922945	2.75028257024229	0	0	0	0	0	0
Tspan7	3.25115598613702	3.38213055235059	2.55657173035863	1.28110599693415	1.09055019023051	0	4.39440548383055	0.962012747653272	1.67571442582571
Gabra1	3.43185370603745	3.19918630378115	3.1067397963041	0	0	0	0	0	0
Spock3	2.56402750115307	0	0	1.31867654002934	0	0	0	0	0
Spock1	2.24353461087815	1.58631887726438	0	0	0	0	0	0	0
Npy	3.55235980882663	0	0	0	0	0	0	0	0
Resp18	2.71372124636819	0.75708747188664	0.796086325693821	0	0	0	0	0	0
Sst	0	0	0	0	0	0	0	0	0
Tsix	0	0	0	0	0	0	0	0	0
Zwint	3.42950701549578	2.72159909638563	1.97726794411542	0	0	0	0	0	0
Stmn3	4.74641779351679	4.68373554105219	4.48495814726115	0	0	0	0	0	0
Serpini1	3.1766805257835	1.67276424734403	2.38729838310124	0	0	0	0	0	0
Synpr	3.03715722309454	0	0	0	0	0	0	0	0
Fxyd6	2.30209982007943	0	1.24385113505503	0	0	0	0	0	0
Ldhb	4.03732122228536	3.88660539518625	2.98564811934081	2.60502032566589	0	0	4.76261633239447	2.78966666035324	0
Hprt	2.70948232135232	2.63575444144816	2.39825596140177	0	2.05367939888049	1.99390759087506	0	0.562185850747008	0.635940849102337
Fkbp3	3.3248823006933	3.1722678236263	2.56349430916811	1.34888153163733	0	0	0	1.54442478793349	0
Ngfrap1	3.47226044198398	3.38824031708254	3.01528581668924	0	0	0	0	1.37075283394741	0
Mdh1	5.12668949985815	5.29400288579705	4.31394395594954	2.46342222617688	2.02000309839455	2.26546298046533	3.40603589118831	3.45106880722079	2.67801474752658
Myl12b	3.51274718271741	3.60726352823118	3.35144253590557	1.7564840461517	2.46151877656535	3.9434826555742	1.10815380434491	1.928400632642	2.96035507250631
Idh3b	2.94412935584253	2.62323882470723	2.89921687208076	1.02235272506536	0	0	1.72530999589006	1.54229548918245	0.576003907478185
Atp6v1e1	4.03453592933693	4.07187594458023	3.56317693167089	2.55058272735188	1.88073890233768	1.58624809119919	1.64075645018157	1.85466747533427	0
Uchl1	3.09740018144241	3.33580412332015	3.0892313219943	0	0	0	0	0.94627793340353	0
Fabp3	2.45220823002577	2.56443240449033	1.76271887710869	0	0	0	0	0	0
Got1	2.85866180444388	2.94365494867458	2.65197493083775	0	0	0	0	0	0
Slc25a4	5.01337411496608	4.70491149047167	4.77944145595516	3.72697546869466	1.68226252171436	2.45391890780392	4.01086840236625	3.29125263402629	4.23757339076585
Tubb2a	4.77123183988425	4.29525413801982	4.54585098153309	0	1.53491873128153	1.88025086938735	2.97380497120742	2.87062833894022	1.5760100842394
Tuba1a	5.15340566131912	5.00926517947464	4.66966566757611	5.4191462918969	1.56583488360024	3.69364921907212	3.06677159016629	5.47666078040041	3.30652413578482
Stmn2	4.08325117275414	4.24471358611191	3.74784600539871	0	0	0	0	0	0
Snap47	3.15425513727779	2.85509780805042	2.61184410999171	0.916748172193608	0	0	0	1.09061422423282	0
Tubb3	2.62386615475561	2.65377255810544	2.42086295689593	0	0	0	0	0	0
Clu	2.68301509889958	2.08582126740834	1.30907828650262	0	0	0	6.45571843047777	5.06373791787517	0
Cst3	3.26234349521515	2.42970367860544	2.46981160491195	1.93673633668852	6.51115508136346	4.26722894874167	7.9757723447686	4.29611326155144	4.358835882741
Atp5g1	3.44752316541659	3.55028591026115	2.90694111535064	1.61598274779978	0	0	0	0	0
Vip	0	0	0	0	0	0	0	0	0
Atp2b2	2.42764942215775	3.60729661677754	2.39953648377679	0	0	0	0	0	0
Mef2c	2.32940929813601	4.17720037458638	0	0	2.5196146876319	2.03889479654991	0	0	3.06083896592727
Osbpl1a	1.16847779042516	3.5768441843625	1.43570783213898	2.54659875668118	0	0	0	1.29081217871205	0
Kcnb1	1.73432662554736	2.62840032486622	1.98663326477921	0	0	0	0	0	0
Gp1bb	1.59794406742302	2.56506135743311	1.71216947498496	0	0	0	0	0	0
Strbp	2.15265570943028	2.56315909897567	2.11739889377216	0	0	0	0	1.83312981146734	0
Dclk1	2.90173057668813	3.28456600107782	2.95351445735006	0	0	0	2.85728649936113	1.78351044688717	0
Vsnl1	3.30893024226782	3.65118632117893	3.03722700038188	0	0	0	0	0	0
Camk2n1	2.44256797682609	4.66494502261633	2.96750365645397	1.28884078103656	1.97928785300343	2.09581265876348	2.34313501338678	1.37075283394741	2.34480585351105
Lamp5	0	1.58550633472591	0	0	0	0	0	0	0
Slc1a2	1.79715999613545	3.76252357654904	1.7942247488937	1.5465667315634	2.36454234897764	2.10624567639377	6.88719634253554	3.02515444423733	2.79105611163042
Ncald	2.73888289186233	3.05686271135523	0	0	0	0	0	0	0
Kcna1	1.5817543633573	2.06641774151275	1.46224751111635	2.95349484306494	0	0	0	0	0
Chgb	2.30709575212475	2.90858766376095	2.37586197497929	0	0	0	0	0	0
Pcp4	0	3.95854078809905	0	0	0	0	0	0	0
Adcy1	1.74866640315153	2.30247147110808	1.80425242413932	0	0	0	0	0	0
Pcsk2	2.22205522095607	4.5054102715547	2.99823532979778	0	0	0	0	0	0
Kifap3	2.52491596511332	2.87125858504336	2.82074708536412	0.974464045718833	0	0	0	0.993368393787316	0
Snap25	5.4036760459686	5.80600027287046	4.70254549092171	0.902467993455609	0.702654871390449	1.53806304666501	0	1.74450040522151	2.10824664687777
Tubb5	2.76182364338867	3.29413157420321	2.67300368129832	1.5265468704511	0	2.67106017114894	0	0	2.05608224261734
Tagln3	2.86777277670644	3.81472655323802	1.94669156200465	0	0	0	3.29074063342742	0	0
Mgst3	2.20763586192558	2.61618959004284	1.82364660151538	0	0	0	0	0	0
Pfkp	2.18282211351385	2.89800264912404	2.1219922323308	0	0	0	0.421874034816226	2.02870981356126	1.48135656273553
Tpi1	3.98514057149839	4.20209680087794	3.73332832628922	1.90437318749704	0	2.03638538657663	2.90579971318322	2.1491619184293	1.74257879191236
Mif	3.9658230422928	3.98355304150163	3.23485093208422	3.29722399488415	1.63209439128206	0	2.4685997239297	2.84093209511133	0
Pld3	2.40619548250288	2.99953024482709	2.49990804359186	0	0	0	0	0	0
Usmg5	4.51437272190357	4.66071263385254	4.30703244322016	2.97922972451642	2.27945212500968	2.55726863060751	3.08021420540828	2.78537893556565	2.93170207781631
Atp6v1d	3.042868947723	3.69332948023733	3.18217735364574	1.54572167241125	0	0	0	2.29507215344834	0
Atpif1	3.96668830432905	4.30159688992398	3.46015071452902	2.03166984795384	2.47384252316436	1.60004800454187	0	2.35548286362594	3.28195180251187
Scg5	4.73937023057471	4.9540629464664	4.4649416033763	1.87172847377658	0	0	1.90142570137009	2.02870981356126	0
Nme1	3.46045215414763	3.94973519447034	3.11009485163182	1.79465642339283	0	0	1.62556038087236	0	0
Prdx5	2.10141553059794	2.35255319908492	2.25917176158134	0	0.619240931253559	0	0	0	0.576003907478185
Tuba4a	2.66924908887853	3.43961391685499	2.83092946037203	0	0	0	0	0	0
Id2	3.20563256545318	3.2642234185427	0.598561430349619	0	2.52860746068102	0	4.85384596868411	0	0
Nrxn1	3.05927248897144	3.49591036510664	3.28999744848557	0	0	0	3.65098089573156	1.4903789326872	2.39899667479696
Npcd	1.23729260977507	2.28107356067707	2.43933003909548	0	0	0	0	0.546762692283846	0
Snhg11	4.42548915279976	4.43425636970351	4.84379194520186	0	0	0	0	0.681160844817773	0.738061693373569
Miat	0.805244912021091	1.5624503567409	2.14773022419445	0	0	0	0	0	0
Kcnq1ot1	1.6945786670871	1.81164629753691	2.08971728904406	0	0	0	0.421874034816226	1.91664759382448	1.61073870472053
Ryr2	1.27883098350358	2.04972153919761	2.13087929019861	0	0	0	0	0.375665449755437	1.74453351118463
Meg3	5.09217319966791	5.16047784172551	5.77390592925553	1.6507718477335	2.23934389864503	2.52487687758292	2.35735652547049	2.86361476022872	4.29087895024161
Chd3	1.97625051318817	1.99942006573556	2.41106492546458	0	0	0	0	0.74407301736447	0
Cpne7	1.0467932922155	0	2.55927639233849	0	0	0	0	0	0
Timp2	2.38774187341005	1.64170329505778	2.41098726471973	0.763919488004135	1.95891263507241	0	0	2.31390065328099	1.78321066506322
Nov	0	0	2.62334629054162	0	0	0	0	0	0
Nnat	0	0	1.90674679868402	0	0	0	0	3.6736407358827	0
Syn2	3.47692758310535	2.5769770842458	3.3886099786622	0	0	0	0	0	0
Cadm1	1.94885006544215	1.41338548008388	2.68121084551351	0	0	0	2.50368799017185	2.54240347352383	0
Calb1	0	0.623193879086821	1.19784489048679	0	0	0	0	0	0
Chl1	2.81612396516572	1.08158655197467	2.76042603453079	0	0	0	0	0	0
Sv2b	0	2.86027312746895	2.73997068061889	0	0	0	0	0	0
Gap43	2.69239981899561	2.70606927929825	3.37251000523137	0	0	0	0	0	0
Hpcal4	1.13531531520045	2.11927518331675	2.40219089302812	0	0	0	0	0	0
Ttc3	4.72160810951427	4.41490193849383	4.75203900920466	1.71334104832162	2.10137360631322	2.69543436589084	3.21546296791287	2.82891690119084	3.09368794427938
Cplx2	3.12473342874246	2.54043538083638	2.4922015185957	0	0	0	0	0.793826665459731	0
Pde1a	1.02509085900928	2.19844760870318	3.38598968643589	0	0	0	0	0	0
Gda	1.68875487313967	2.97304114990196	2.89470815543855	0	0	0	0	0	0
Lmo4	0.708399623282137	3.22224237348294	2.80707838344613	0	0	0	1.39468059176179	2.42138790058337	0
Eno2	3.46228629478144	3.50546020451827	3.67275690576477	0	0	0	0	0	0
Cpne6	1.24945504799828	0.54216932365877	3.37995289773691	0	0	0	0	0	0
Ywhah	3.22267878298102	4.24403732524806	3.99890755214248	0	1.53916093810328	0	0	1.60105095777941	0
Nsf	3.86513656359915	3.68229395346238	4.01729174828975	0	0	0	0	0.562185850747008	0
Pgrmc1	3.00929066874905	2.36054259114656	3.0465310272979	1.05323409086855	0	0	0	1.57408032083515	1.64382494186906
Ahi1	2.41274301173576	1.98443634851759	2.98603511470063	0	0	0	1.33035306764352	0	1.53647092160943
Crym	0	0	3.59954864000336	0	0	0	0	0	0
Atp6v1g2	2.91411761376961	2.47233164712852	2.80637557020797	0	0	0	0	0	0
Hsp90aa1	5.87565943486753	5.71343322848389	5.64637138816307	5.15940074606734	4.18809199418004	4.07981726215603	3.62320759655725	6.5650395861642	4.36497046310104
Tmod2	2.80167811868172	2.7030863184668	3.01875645589358	2.07470369984733	0	0	1.60591427838867	0.76551333763475	0
Napb	3.33341294220457	2.99423867082918	3.18897244209475	0	0	0	0	0	0
Sh3gl2	1.50758110343161	2.78786581933602	2.55373210220474	0	0	0	0	0	0
Rnf112	0.892649419356801	2.24505508800071	2.45607101378994	0	0	0	0	0	0
Ckmt1	2.20282545618654	1.97438434417146	2.28645367495269	0	0	0	0	0	0
Zcchc18	3.65999024801006	2.63455570604176	3.3001431914548	0	0	0	0	2.3857156208726	0
Sparcl1	3.24800183859279	3.35766485341804	3.45884826640142	1.32094582121051	2.41659029127976	5.19168085224599	7.28464447814369	4.88582678256308	6.48907101099799
Snca	3.51228056876341	4.32266307852388	4.47212908289175	0	0	0	0	0	0
Gpr22	0.498949700675127	1.58371036035223	2.72883262307008	0	0	0	0	0	0
Ntm	2.81023016458792	3.72126979034211	3.78382604087614	0	1.55395945475473	0	4.34967241368254	2.66908482831933	2.37405144080667
Fbxw7	1.76504428291436	3.27533601861153	3.09022279813769	0	0	0	0	0	1.68293331677374
Ensa	2.09909912987282	3.08718298061197	3.0125644800764	0	0	0	0	0	0
Ywhaz	4.09552920004095	4.29317085313858	4.59352038494476	2.42498163430126	2.35139444961332	2.66849014199038	2.25663117746944	2.70390234448516	3.22781336799844
Tmem59l	2.16152777911746	1.90896004959611	2.40018720572885	0	0	0	0	0	0
Ldha	2.25053870200152	3.05344635002167	3.10488194055614	0	1.19799790896589	2.10624567639377	2.05298694775001	1.2994720854924	1.65712990510058
Pfn2	3.38333326766396	3.17377792463503	3.61091388944993	1.7215745039925	0	0	2.48716922277556	2.1405427900679	0
3110035E14Rik	0	3.68015444893822	3.76596590802819	0	0	0	0	0	0
Cck	2.49170866635414	3.02351497873801	3.30653751793472	0	0	0	0	0	0
Ndrg3	2.46400774772576	3.23656265000954	2.79978367410444	0	0	0	0	0	0
Gpm6a	4.64019581811246	4.9838682483417	5.3669399883209	1.34237250077653	2.18997800693466	2.30330798993937	5.2159330074015	3.64541461276125	2.53114820095715
Pls3	1.43435813247108	1.14482287344188	2.66001093640633	0	0	2.66965755791548	0	0	3.04090148465322
Mapk10	2.69917073686583	2.96333194224481	2.96512798530422	0	0	0	0	0	0
Nrn1	0	3.26571341222898	2.37153521823986	0	0	0	0	0	0
Caly	2.11571446602704	1.71255799154748	2.57867025856936	0	0	0	0	0	0
Mmd2	0	0.784938875124705	1.86648692493632	2.08614108028168	0	0	4.33124857289779	0	0
Dynll1	2.96891646240148	4.45973959412192	4.72634579109408	3.72609459066442	2.05707910022978	3.81862040119469	2.83697478417663	3.79605402659489	4.12398697032284
Gpm6b	1.66936696168095	3.64477666322732	3.62940857266828	4.67362322357492	1.27581286381993	0	4.83092985150811	3.63365838370556	1.66972329070428
Gstp1	2.79483203562918	3.32559244797077	3.40914994064485	5.07605520768966	0	1.89347845234035	2.44153441466217	2.62734679681866	2.91026210590322
Ociad2	0.705084047601676	1.76035939043451	2.81403959816601	0	0	0	0	0	0
Fkbp1a	2.70770121689427	3.16849611598079	4.36836879876425	3.40117503331027	1.58536274041284	2.44825762636837	1.18084729907669	1.91502302557502	2.09371424155825
Chn1	2.93632658232433	4.86494880903981	4.90269397837797	0	0	0	1.09037800563056	0	0
Calm2	5.44964564829688	6.53907190972183	6.55526059524332	3.67724033803593	4.18405489128816	3.7721525705112	2.77405471016662	4.34373388660778	4.86166777320093
Tmsb4x	4.16959371276245	4.93096869936733	5.87672288807058	5.69078543342586	6.981917296041	6.39558362743474	2.65016992004912	3.89291321587222	4.95890560582606
Spink8	0	0	1.9310007224886	0	0	0	0	0	0
Dcn	0	0	0	0	0	0	0	0	0
Rab3c	4.01185239947898	0.685360861898513	2.48281797115582	0	0	0	0	0	0
Slc22a17	3.06002399073162	2.8624551759679	3.20751066883877	2.10667300167704	0	0	1.31126895469373	1.50958635499922	0
Tenm2	1.17185917343233	1.18679317923344	2.8748176056707	0	0	0	0	0	0
Ywhab	3.65604876376568	2.97056852780425	3.44486574368281	1.45264895168776	1.47856511871042	1.95894641852199	1.1842114536482	1.8978659362706	1.64041011468314
Dgkg	1.47409134772509	0	2.72482358758807	0	0	0	0	0	0
Syt4	2.14596098569406	2.4378428521538	2.61161317013703	0	0	0	0	0	0
Gabra2	0.957439374276678	0.627286463505556	2.43689134901224	0	0	0	0	0	0
Scn2a1	3.41589262074233	3.62554309946313	3.79555957640825	0	0	0	0	0	1.65712990510058
Arpp21	1.04987684267001	4.01969742036399	2.55321462588583	0	0	0	0	0	2.06153539213317
Mycbp2	2.12530077949427	2.73732086962642	2.81632074689164	1.13468261838238	2.0327566214963	0	0	1.02225237879246	1.97611540632678
Gprasp1	3.12747152449276	2.19690526291076	2.55307149574986	0	0	0	0	1.62970427182019	0
Pcdh19	0.71028082923783	0	1.97323886185238	0	0	0	0	0	0
Cntn1	2.54246216329935	2.32540151798834	2.63436413771948	0	0	0	0	1.63385834477442	0
Ptprs	2.2473659682818	2.57507887789985	3.14463639068185	0	0	0	1.21828173797503	0.406132328835072	2.12429015896405
Pgm2l1	2.2072122200999	3.00273576863494	2.99098271403063	0	0	0	0	0	0
Camta1	2.53873719546302	2.10089455490722	2.42485696022009	0	0	0	0	0	0
Kcnma1	1.04296071635026	2.52740832654232	2.37019878789617	0	0	0	0	0	0
Synj1	2.9217690048237	2.44495486197606	3.02745273796152	0	0	0	0	1.75880817540983	0
Tmx4	2.66956684900923	2.11462741239994	2.30513024685408	0	0	0	0	0	0
Cadm3	1.82353190057737	2.05142868396595	1.98953633029634	0	0	0	0	0	0
Gls	1.93038374218192	2.52374604166485	2.66952422640993	0	0	0	0	0.231278964240035	0
Syn1	2.12413572199854	2.50531820974985	2.38069954655861	0	0	0	0	0	0
Ptprn	2.57526413941763	2.54539467177955	2.63396880993444	0	0	0	0	0	0
Snap91	2.77179005001419	2.55145817263321	2.46515277829547	0	0	0	0	0.649440179944328	0
Maged1	3.41069071759003	2.66825869679572	3.24065089609985	1.09669152066235	0	0	0	1.84791801893323	1.6361428512564
Atp1b1	5.71638252510812	4.87695795390196	5.57947646006989	0	1.99697331305428	1.35551160903632	2.60120263988578	3.53360668338963	3.08306129793347
Dos	2.23099465128196	1.92962177587556	1.99807475343471	0	0	0	0	0	0
Cadps2	0	1.23793967807565	1.70534524027351	0	0	0	0	0	0
Rtn1	4.76833413613389	4.45332844773006	4.94753685828814	0	0.702654871390449	0	0.542929257330947	2.46471778233091	1.00753242821336
Nfib	2.33176583471299	1.58446920209574	2.34942637632652	0.770272504133424	0	2.20919119102309	2.32697648724712	3.01897405656239	0
Mtpn	2.32121321834327	2.89191826581638	2.75615361754462	0	0	1.31705622755429	1.60996930971187	2.13987986638098	0
Map1b	4.35830212626338	3.99619420193908	4.23547253890675	1.71260480153375	0	1.86366249687964	0	2.45865000151223	2.9366036185017
Syt11	4.05724263612243	4.05631480672062	3.99276226713114	4.87807112728568	1.96558341559531	0	3.58699616833409	2.97887215331934	1.76838220358552
Sptbn1	3.28743877357595	3.39023833068546	3.69503308176316	2.13544017535331	1.91242523752209	4.72962630232559	3.01605111998115	3.09550617984936	3.14646637092284
Cpe	3.70958586769613	4.11207836987128	4.96876795457971	1.27856200042574	1.52105340993363	2.45007830742013	6.12789492087517	4.90850349409083	2.86433138945641
Basp1	3.66804569543786	4.19135715971915	3.94392239675676	0	1.53768563464479	0	0	0	0
Aplp1	2.98732379153545	3.57251252479266	3.79970530834207	4.70394536654463	0	0	2.48112041686193	2.05931554261132	1.71672977610161
2900097C17Rik	4.49551148653202	4.25308933967801	4.27525679876457	2.17497561461874	2.47103462750372	1.9878090408491	2.47130029304955	1.92061085263039	2.20345175996308
Rtn3	3.91850238095394	3.62040576847434	3.59924143894408	2.49305344477871	1.39435542201402	0	2.47080932513104	2.05931554261132	0
Dnm1	3.2133277384978	2.96159196088589	3.31595574456122	0	0	0	0	0	0
2900060B14Rik	1.17974887179585	1.01406432497996	1.26344743768218	0	0	1.14277493130763	0	1.87941145658919	1.65232974565787
Hsph1	2.12617385972657	2.58450137330233	2.63141484196305	0	0	0	0	2.43329931897956	0
Rbfox3	2.50470143146939	3.01038935169117	2.66981612902104	0	0	0	0	0	0
Camk2b	2.45212227611347	2.88687977634372	3.53173118809512	0	0	0	0	0	0
Nrgn	0.735868237017887	4.76845350249665	4.16094416089759	0	1.54774338174282	0	0	0.912439809057808	2.00864938137503
Gabrg2	2.57521495476417	2.91201947537473	2.60125764201811	0	0	0	0	0	0
Abr	2.03388408392238	2.33742138429476	2.61996705359419	0	0	0	2.43054609018108	1.1783059007044	2.02608902120519
Celf5	1.69686889184571	2.20460285005291	2.95374512353294	0	0	0	0	0	0
Bcl11a	1.13511169782433	2.14691743584493	2.54502448321807	0	0	0	0	0	0
Ncdn	2.77337201962431	2.98586845940237	3.95890273747815	0	0	0	0	0	0
Nell2	0	1.9162186142608	2.67001982957264	0	0	0	0	0	0
Nsg1	2.48924344633645	2.02962748861153	2.3419858622884	0	0	0	0	0	0
Gabra5	0	0	2.34672791875703	0	0	0	0	0	0
Fibcd1	0	0	2.05366589490857	0	0	0	0	0	0
Fam131a	0.723917781667855	1.80665283721872	3.03994434002394	0	0	0	0	0	0
Pja2	3.84743201993349	3.63201639494665	4.06667345867766	1.48839284560979	0	1.43470849430917	0.952642945111791	2.23050222528324	2.19116384575983
Cnksr2	0.478179911369993	2.04896375032407	2.7404996729129	0	0	0	0	0	0
Ppp3cb	2.58940560780522	2.96490288898508	3.25258742510779	0	0	0	0	0	0
Calm3	3.94228982172447	4.00495584803378	4.33216343828194	2.34740861559558	1.39302706467674	1.01504679380791	1.80628330180427	2.40077004644959	0.635940849102337
Ddn	0	1.35738644683918	2.57863177081012	0	0	0	0	0	0
Camkv	1.34017252727683	1.81204054012986	3.26435565586758	0	0	0	0	0	0
Sprn	1.13511169782433	1.67114094018644	2.13455242289319	0	0	0	0	0	0
Trim2	3.00286178581264	2.47136275239987	3.64635248121309	2.21816511230771	0	0	1.87893509742715	2.87704913107571	2.17984579334595
Epha4	0.821095620149261	2.67864281917125	3.52861201824909	0	0	0	0	0.991785499712827	0
Plcb1	1.62814840272234	2.52011386979914	2.391647512975	0	0	0	0	0	0
Ctxn1	0.384639801876674	2.34213051256766	2.47296098704169	0	0	0	0	0	0
Olfm1	3.06886219397191	4.00351181114267	3.89081832323665	0.538798640665402	0	0	0	0.562185850747008	1.82091640743255
Ppp3ca	2.43341835825708	4.06104499802055	5.2271076170154	1.35468158621734	2.01054254520207	0	1.60329230643907	1.8430039749013	0
Tspan13	1.59007597167998	2.15805313055216	4.06157251615166	0	0	2.23622477578057	0	0	0
Ptk2b	0	1.55772468193907	2.77483259160034	0	0	0	0	0	0
Bcl11b	1.06174959535955	0	2.6793976278572	0	0	0	0	0	0
Itm2c	2.08321679805745	2.50684148325097	3.16942791988121	0.906951654493383	0	0	2.36981736090207	3.4985899684457	0
Gria1	2.22728059176604	1.38251052105714	4.14988210842617	0	0	0	0	0	0
Atp1a3	3.91047545537968	2.97644957043621	3.82929959322398	0	0	0	0	1.36019306732186	0
Nbea	1.98484030002821	2.14960986433119	2.70555817024203	0	0	0	0	0	0
Sorl1	1.63354626879873	2.32934291607003	2.71820077305361	0.813245709736583	0	0	0	0	0
Sez6	1.23643481455654	0.854763448281061	2.23344591935799	0	0	0	0	0	0
Dkk3	0	1.39361998960851	2.6720969949096	0	0	0	0	1.36550840077484	0
Thy1	2.96389365402085	3.05469012995927	3.37423474112536	0	0	0	0	0	0
Zbtb18	0	1.9092327578792	2.89648436784858	0	0	0	0	0.747598460132385	0
Elmod1	2.38060429349571	1.73489454888594	2.66808286439438	0	0	0	0	1.63070649068108	0
Myt1l	2.57321122120871	2.65169929955179	2.97285023784605	0	0	0	0	0.418161215704294	0
Arf3	2.45434898146777	3.13163707335361	3.44534473566241	0	0	0	0	1.28549684525907	0
Lingo1	0	2.0256370985514	1.88053702838265	0	0	0	0	0	0
Frrs1l	2.00410131021469	2.36980253116164	2.54713795797219	0	0	0	0	0	0
Kalrn	1.41445423913112	2.64752523237864	2.48335080510379	0	0	0	0	0	0
Itpka	0	1.10095168791932	2.41014151794133	0	0	0	0	0	0
Ppm1e	1.82398206791736	1.19360701353141	2.63942707591639	0	0	0	0	0	0
Gria2	3.56596532221395	4.53409859527082	5.48456496340554	1.54007062656932	1.68066135441365	1.53806304666501	3.32982866797656	3.62298321067194	2.83753125321487
Wasf1	1.19072555196942	1.92894200726285	3.29395549478126	0	0	0	0	0	0
Baiap2	0	2.13067990962321	2.64669886025808	0	0	0	0	0	0
Rasgrp1	0	2.54365914210995	3.58060584088138	0	0	0	0	0	0
Sptan1	2.35737907827172	2.72534680499012	3.01850384178989	0	0	2.54331936238021	0	1.50330035229845	1.72289288442287
