muller	rods	bipolar	amacrine	cones	vascular_endothelium	ganglion	horizontal	pericytes	astrocytes	microglia	fibroblasts
Celf4	0	0	0.311197386511178	1.72910949451222	0	0	1.20086448350992	0.897772211111573	0	0	0	0
Cep290	0	0	0	0	0.479949870517973	0	0	0	0	0	0	0
Chgb	0	0	0.75517828506831	0.650073099465835	1.04366074166992	0	0.785126917705018	2.15690809516433	0	0	0	0
Cldn5	0	0	0	0	0	2.05059645905294	0	0	0	0	0	0
Clec4a1	0	0	0	0	0	0	0	0	0	0	0	0
Clu	2.69395298728806	0	0	0	0	0	0	0	0	2.13241105495028	0	0.991419644820364
Cnga1	0	2.0971741324631	0	0	1.40101474673154	0	0	0	0	0	0	0
Cngb1	0	1.38420341878131	0	0	0.745209288620468	0	0	0	0	0	0	0
Col4a1	0	0	0	0	0	1.8442704998851	0	0	2.51278646052946	0	0	0
Col9a1	1.78787809489891	0	0	0	0	0	0	0	0	0	0	3.10010479510714
Cp	1.69776512175548	0	0	0	0	0	0	0	0	1.7485173135801	0	1.98711025433323
Cplx3	0	0	1.28343842767712	0.736770269673586	0.628253788179067	0	0	0	0	0	0	0
Cplx4	0	0.963732458003891	0	0	1.02545968905581	0	0	0	0	0	0	0
Crabp1	0	0	0	0	0	0	0	0	0	0	0	0
Crh	0	0	0	0	0	0	0	0	0	0	0	0
Crhbp	0	0	0	0	0	0	0	0	0	0	0	2.46097113179398
Crx	0	1.02982553753207	0	0	1.2598952361057	0	0	0	0	0	0	0
Cryaa	0	0	0	0	0	0	0	0	0	0	0	0
Cryab	0.67993855139252	0	0	0	0	0	0	0	0	0	0	0
Cryba1	0	0	0	0	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0	0	0	0	0
Crygd	0	0	0	0	0	0	0	0	0	0	0	0
Cryge	0	0	0	0	0	0	0	0	0	0	0	0
Crygs	0	0	0	0	0	0	0	0	0	0	0	0
Crym	1.57266906632836	0	0	0	0	0	0	0	0	0	0	0
Csf1r	0	0	0	0	0	0	0	0	0	0	1.80764632464824	0
Ctla2a	0	0	0	0	0	1.36022939629826	0	0	0	0	0	0
Ctss	0	0	0	0	0	0	0	0	0	0	3.79293643165456	0
Cx3cr1	0	0	0	0	0	0	0	0	0	0	2.05128899172885	0
Cxcl2	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl9	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr2	0	0	0	0	0	0	0	0	0	0	0	0
Cym	0	0	0	0	0	0	0	0	0	0	0	0
Cyr61	1.08198516273208	0	0	0	0	0	0	0	0	0	0	0
Dapl1	1.37456267202984	0	0	0	0	0	0	0	0	0	0	2.4517942801584
Dbi	2.44604249318321	0	0	0	0	0	0	0	0	2.63074947165306	0	0
Dcdc2a	0	0	0	0	0	0	0	0	0	0	0	0
Dkk3	2.42883895683188	0	0	0	0	0	0	0	0	1.1532509315262	0	2.56104453485876
Dmd	0	0	0	0	0.535079319302231	0	0	0	0.779967482805647	0	0	0
Dmrta1	0	0	0	0	0	0	0	0	0	0	0	0
Dnali1	0	0	0	0	0	0	0	0	0	0	0	0
Dqx1	0	0	0	0	0	0	0	0	0	0	0	0
Drd4	0	0	0	0	0.56417914633289	0	0	0	0	0	0	0
Ebpl	0	0	0	0	0	0	0	0	0	0	0	0
Efcab6	0	0	0	0	0	0	0	0	0	0	0	0
Egr1	1.27584910836558	0	0	0	0	0	0	0	0	0	2.24463671101837	0
Ell3	0	0	0	0	0	0	0	0	0	0	0	0
Etos1	0	0	0	0	0	0	0	0	0	0	0	0
Ets1	0	0	0	0	0	0.887347646314848	0	0	0	0	0	0
Fabp12	0	0	0	0	0	0	0	0	0	0	0	0
Fam161a	0	0.775058213465543	0	0	1.08247458375289	0	0	0	0	0	0	0
Fam57b	0	1.64465344986238	0	0	1.34839612238593	0	0	0	0	0	0	0
Fbln1	0	0	0	0	0	0	0	0	0	0	0	1.77554920765822
Fcer1g	0	0	0	0	0	0	0	0	0	0	1.28034790207354	0
Fcgr3	0	0	0	0	0	0	0	0	0	0	0.781434455162575	0
Fgfbp1	0	0	0	0	0	0	0	0	0	0	0	0
Flt1	0.652989162539646	0	0	0	0	1.77476618411521	0	0	0	0	0	0
Fn1	0	0	0	0	0	1.50393282535189	0	0	0	0.222868665391969	0	0
Fos	2.0609908611597	0	0	0	0	0	0	0	0	0	1.33178457013201	0
Fosb	0	0	0	0	0	0	0	0	0	0	0	0
Gad1	0	0	0	0	0	0	0	0	0	0	0	0
Gja1	0	0	0	0	0	0	0	0	0	0.141060077055087	0	2.06148557085613
Gjb2	0	0	0	0	0	0	0	0	0	0	0	0
Glmn	0	0	0	0	0	0	0	0	0	0	0	0
Glul	3.98279028826679	0	0	0	0	0.193568971535581	0	0.557861129046851	0	2.92756219872135	1.09493096214457	1.74068236536429
Glycam1	0	0	0	0	0	0	0	0	0	0	0	0
Gm10036	0	0	0	0	0	0	0	0	0	0	0	0
Gm10330	0	0	0	0	0	0	0	0	0	0	0	0
Gm10552	0	0	0	0	0	0	0	0	0	0	0	0
Gm10715	0	0	0	0	0	0	0	0	0	0	0	0
Gm10717	0	0	0	0	0	0	0	0	0	0	0	0
Gm10719	0	0	0	0	0	0	0	0	0	0	0	0
Gm10722	0	0	0	0	0	0	0	0	0	0	0	0
Gm10800	0	0	0	0	0	0	0	0	0	0	0	0
Gm10801	0	0	0	0	0	0	0	0	0	0	0	0
Gm11280	0	0	0	0	0	0	0	0	0	0	0	0
Gm11496	0	0	0	0	0	0	0	0	0	0	0	0
Gm11744	0	0	0	0	1.07323586318622	0	0	0	0	0	0	0
Gm11788	0	0	0	0	0	0	0	0	0	0	0	0
Gm12259	0	0	0	0	0	0	0	0	0	0	0	0
Gm12472	0	0	0	0	0	0	0	0	0	0	0	0
Gm12596	0	0	0	0	0	0	0	0	0	0	0	0
Gm12789	0	0	0	0	0	0	0	0	0	0	0	0
Gm12973	0	0	0	0	0	0	0	0	0	0	0	0
Gm13112	0	0	0	0	0	0	0	0	0	0	0	0
Gm13330	0	0	0	0	0	0	0	0	0	0	0	0
Gm13954	0	0	0	0	0	0	0	0	0	0	0	0
Gm14093	0	0	0	0	0	0	0	0	0	0	0	0
Gm14154	0	0	0	0	0	0	0	0	0	0	0	0
Gm14216	0	0	0	0	0	0	0	0	0	0	0	0
Gm14233	0	0	0	0	0	0	0	0	0	0	0	0
Gm14260	0	0	0	0	0	0	0	0	0	0	0	0
Gm14496	0	0	0	0	0	0	0	0	0	0	0	0
Gm14812	0	0	0	0	0	0	0	0	0	0	0	0
Gm14936	0	0	0	0	0	0	0	0	0	0	0	0
Gm15261	0	0	0	0	0	0	0	0	0	0	0	0
Gm15414	0	0	0	0	0	0	0	0	0	0	0	0
Gm15478	0	0	0	0	0	0	0	0	0	0	0	0
Gm15818	0	0	0	0	0	0	0	0	0	0	0	0
Gm16048	0	0	0	0	0	0	0	0	0	0	0	0
Gm16351	0	0	0	0	0	0	0	0	0	0	0	0
Gm16559	0	0	0	0	0	0	0	0	0	0	0	0
Gm17535	0	0	0	0	0	0	0	0	0	0	0	0
Gm20634	0	0	0	0	0	0	0	0	0	0	0	0
Gm20642	0	0	0	0	0	0	0	0	0	0	0	0
Gm21738	0	0	0	0	0	0	0	0	0	0	0	0
Gm22114	0	0	0	0	0	0	0	0	0	0	0	0
Gm22146	0	0	0	0	0	0	0	0	0	0	0	0
Gm22448	0	0	0	0	0	0	0	0	0	0	0	0
Gm22472	0	0	0	0	0	0	0	0	0	0	0	0
Gm22546	0	0	0	0	0	0	0	0	0	0	0	0
Gm22583	0	0	0	0	0	0	0	0	0	0	0	0
Gm22758	0	0	0	0	0	0	0	0	0	0	0	0
Gm22807	0	0	0	0	0	0	0	0	0	0	0	0
Gm22826	0	0	0	0	0	0	0	0	0	0	0	0
Gm22828	0	0	0	0	0	0	0	0	0	0	0	0
Gm22886	0	0	0	0	0	0	0	0	0	0	0	0
Gm22955	0	0	0	0	0	0	0	0	0	0	0	0
Gm23121	0	0	0	0	0	0	0	0	0	0	0	0
Gm23275	0	0	0	0	0	0	0	0	0	0	0	0
Gm23428	0	0	0	0	0	0	0	0	0	0	0	0
Gm23520	0	0	0	0	0	0	0	0	0	0	0	0
Gm23670	0	0	0	0	0	0	0	0	0	0	0	0
Gm23885	0	0	0	0	0	0	0	0	0	0	0	0
Gm24054	0	0	0	0	0	0	0	0	0	0	0	0
Gm24166	0	0	0	0	0	0	0	0	0	0	0	0
Gm24264	0	0	0	0	0	0	0	0	0	0	0	0
Gm24308	0	0	0	0	0	0	0	0	0	0	0	0
Gm24346	0	0	0	0	0	0	0	0	0	0	0	0
Gm24457	0	0	0	0	0	0	0	0	0	0	0	0
Gm24537	0	0	0	0	0	0	0	0	0	0	0	0
Gm24611	0	0	0	0	0	0	0	0	0	0	0	0
Gm24661	0	0	0	0	0	0	0	0	0	0	0	0
Gm24859	0	0	0	0	0	0	0	0	0	0	0	0
Gm24917	0	0	0	0	0	0	0	0	0	0	0	0
Gm24958	0	0	0	0	0	0	0	0	0	0	0	0
Gm25006	0	0	0	0	0	0	0	0	0	0	0	0
Gm25078	0	0	0	0	0	0	0	0	0	0	0	0
Gm25092	0	0	0	0	0	0	0	0	0	0	0	0
Gm25427	0	0	0	0	0	0	0	0	0	0	0	0
Gm25450	0	0	0	0	0	0	0	0	0	0	0	0
Gm25482	0	0	0	0	0	0	0	0	0	0	0	0
Gm25509	0	0	0	0	0	0	0	0	0	0	0	0
Gm25628	0	0	0	0	0	0	0	0	0	0	0	0
Gm25716	0	0	0	0	0	0	0	0	0	0	0	0
Gm25797	0	0	0	0	0	0	0	0	0	0	0	0
Gm25810	0	0	0	0	0	0	0	0	0	0	0	0
Gm25829	0	0	0	0	0	0	0	0	0	0	0	0
Gm25862	0	0	0	0	0	0	0	0	0	0	0	0
Gm25907	0	0	0	0	0	0	0	0	0	0	0	0
Gm25908	0	0	0	0	0	0	0	0	0	0	0	0
Gm25913	0	0	0	0	0	0	0	0	0	0	0	0
Gm26049	0	0	0	0	0	0	0	0	0	0	0	0
Gm26050	0	0	0	0	0	0	0	0	0	0	0	0
Gm26280	0	0	0	0	0	0	0	0	0	0	0	0
Gm26318	0	0	0	0	0	0	0	0	0	0	0	0
Gm26411	0	0	0	0	0	0	0	0	0	0	0	0
Gm26516	0	0	0	0	0	0	0	0	0	0	0	0
Gm26583	0	0	0	0	0	0	0	0	0	0	0	0
Gm26774	0	0	0	0	0	0	0	0	0	0	0	0
Gm26838	0	0	0	0	0	0	0	0	0	0	0	0
Gm26870	0	0	0	0	0	0	0	0	0	0	0	0
Gm2822	0	0	0	0	0	0	0	0	0	0	0	0
Gm3625	0	0	0	0	0	0	0	0	0	0	0	0
Gm4675	0	0	0	0	0	0	0	0	0	0	0	0
Gm4792	0	0	0.794896163672774	0	0	0	0	0	0	0	0	0
Gm4847	0	0	0	0	0	0	0	0	0	0	0	0
Gm5612	0	0	0	0	0	0	0	0	0	0	0	0
Gm5936	0	0	0	0	0	0	0	0	0	0	0	0
Gm765	0	0	0	0	0	0	0	0	0	0	0	0
Gm8251	0	0	0	0	0	0	0	0	0	0	0	0
Gm9742	0	0	0	0	0	0	0	0	0	0	0	0
Gm9750	0	0	0	0	0	0	0	0	0	0	0	0
Gm9955	0	0	0	0	0	0	0	0	0	0	0	0
Gnao1	0	0	1.66345332761349	0.902250120945812	0	0	1.47551614443486	0.872582918595429	0	0	0	0
Gnat1	0	3.02232356042106	0	0	2.12116285685769	0	0	0	0	0	0	0
Gnat2	0	0	0	0	1.80112267289793	0	0	0	0	0	0	0
Gnb1	0	2.76963848911137	0	0.674916992205049	1.94525096107762	0.519752371819955	0.573996006595383	0	0	0	0	0
Gnb3	0	0	1.01890270797016	0	1.30285475033357	0	0	0	0	0	0	0
Gng13	0	0	1.7877005338898	0	0	0	0	0	0	0	0	0
Gngt1	0	4.31610796153661	1.20383760131913	0.658512738155195	3.87117520405492	0	0	0	0	0	0	0
Gngt2	0	0	0	0	2.61738179817949	0	0	0	0	0	0	0
Gpnmb	0	0	0	0	0	0	0	0	0	0	0	0
Gpr179	0	0	0.746041959721331	0	0	0	0	0	0	0	0	0
Gpr34	0	0	0	0	0	0	0	0	0	0	0.822074587184258	0
Gpr37	1.32327477865573	0	0	0	0	0	0	0	0	0	0	0
Gria2	0	0	0	1.09487003764761	0	0	0.550173261490669	0.371898105037878	0	0	0	0
Grik1	0	0	0	0	0	0	0	0	0	0	0	0
Grk1	0	0	0	0	0.670526494736104	0	0	0	0	0	0	0
Grm6	0	0	0.750299830649855	0	0	0	0	0	0	0	0	0
Gsg1	0	0	0	0	0	0	0	0	0	0	0	0
Guca1a	0	0	0	0	1.82419151479503	0	0	0	0	0	0	0
Guca1b	0	1.22030133646746	0	0	0.815336453471681	0	0	0	0	0	0	0
Gucy2d	0	0	0	0	0	0	0	0	0	0	0	0
Gucy2e	0	0	0	0	0	0	0	0	0	0	0	0
Gucy2f	0	0	0	0	0	0	0	0	0	0	0	0
H19	0	0	0	0	0	0	0	0	0	0	0	0
Hba-a1	0	0	0	0	0	0	0	0	0	0	0	0
Hbb-bs	0	0	0	0	0	0	0	0	0	0	0	0
Hbb-bt	0	0	0	0	0	0	0	0	0	0	0	0
Hdc	0	0	0	0	0	0	0	0	0	0	0	0
Hes1	1.10991465683208	0	0	0	0	0	0	0	0	0.339081301523123	0	0.785497933541421
Hes2	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb2	0	0	0	0	0	0	0	0	0	0	0	0
Hsd3b6	0	0	0	0	0	0	0	0	0	0	0	0
Hsp90ab1	1.48746801221607	0	1.30232084055748	1.75894806690568	0.805308775013284	2.03647579987408	2.17423440248901	2.08008465418035	1.80764632464824	1.85064636687778	0.691317201259109	1.6753321675151
Id1	0	0	0	0	0	0.0792665697924455	0	0	0	0	0	0
Id2	0.554597187676587	0	0	0	0	0	0	0	0	0.67821062510749	0	0
Id3	1.51264317559713	0	0	0	0	0.953932452427279	0	0	0.616246678941577	2.0119248706304	0	0
Ier2	0	0	0	0	0	0	0	0	0	0	0	0
Igf2	0	0	0	0	0	0	0	0	0	2.65561458938684	0	0
Igfbp7	0	0	0	0	0	3.01445111249253	0	0	3.59433564559301	0	0	1.27932124550916
Ighv3-6	0	0	0	0	0	0	0	0	0	0	0	0
Igkc	0	0	0	0	0	0	0	0	0	0	0	0
Igkv1-110	0	0	0	0	0	0	0	0	0	0	0	0
Igkv6-25	0	0	0	0	0	0	0	0	0	0	0	0
Il1b	0	0	0	0	0	0	0	0	0	0	0	0
Il1rl2	0	0	0	0	0	0	0	0	0	0	0	0
Impg1	0	0	0	0	0	0	0	0	0	0	0	0
Impg2	0	0	0	0	0.524239167609305	0	0	0	0	0	0	0
Isl1	0	0	1.37336771444905	0	0	0	0	0	0	0	0	0
Itgb2l	0	0	0	0	0	0	0	0	0	0	0	0
Itm2a	0	0	0	0	0	1.77774973650542	0	0	0	0	0	0
Jun	2.03922162496513	0	0	0	0	0	0	0	0	0.854761977205129	2.70104358633561	0
Kcnb1	0	0	0	0	0.684380213603714	0	0	0	0	0	0	0
Kcnj14	0	0	0	0	0	0	0	0	0	0	0	0
Kcnj8	0	0	0	0	0	0	0	0	1.04667549733155	0	0	0
Kdr	1.30535162045565	0	0	0	0	1.121470137012	0	0	0	0	0	0
Kif20b	0	0	0	0	0	0	0	0	0	0	0	0
Krt26	0	0	0	0	0	0	0	0	0	0	0	0
Krt32	0	0	0	0	0	0	0	0	0	0	0	0
Lamp5	0	0	0	0	0	0	0	0	0	0	0	0
Lao1	0	0	0	0	0	0	0	0	0	0	0	0
Laptm5	0	0	0	0	0	0	0	0	0	0	1.80112267289793	0
Lhx1	0	0	0	0	0	0	0	1.20674486068043	0	0	0	0
Lilra5	0	0	0	0	0	0	0	0	0	0	0	0
Lin7a	0	0	0.786986318748147	0.409932416484595	0	0	0	0	0	0	0	0
Lrtm1	0	0	1.09345607775259	0	0	0	0	0	0	0	0	0
Ly6c1	0	0	0	0	0	1.158390087717	0	0	0	0	0	0
Ly6d	0	0	0	0	0	0	0	0	0	0	0	0
Ly86	0	0	0	0	0	0	0	0	0	0	2.05128899172885	0
Lyar	0	0	0	0	0.608425960983244	0	0	0	0	0	0	0
Lyz2	0	0	0	0	0	0	0	0	0	0	0	0
Mageb18	0	0	0	0	0	0	0	0	0	0	0	0
Mak	0	0	0	0	0.383572573014298	0	0	0	0	0	0	0
Malat1	5.05510406801315	4.36127235510927	3.976054514334	4.05937204097007	4.11735611749954	4.09885316240142	2.93056355552078	4.74464951810613	4.14719334905967	3.76790784944876	3.99310909007043	4.69920711974176
Map1b	0	1.15013916003377	0	0	1.51935695063237	0	1.79105431756495	0	0	0	0	0
March1	0	0	0	0	0	0	0	0	0	0	0	0
Marcks	1.31524218146624	0	0	0.902645972828644	0	0.980513434946153	0.82632811426542	0	1.79788069522558	0.386094456112758	1.92234516620098	0
Mdm1	0	0	0	0	0	0	0	0	0	0	0	0
Mef2c	0	0	0	0	0	0	0	0	0	0	0	0
Meg3	0	0	2.07084922133	2.87747166847589	0	0	3.31970832116854	1.3896917122571	1.21063997261645	0	0	0
Mfge8	1.67239106764587	0	0	0	0	0	0	0	1.06411125518075	0	0	0
Mgarp	2.57054980869093	0	2.03300970629716	1.65161100077756	0.876574388135313	0	0.691536354620246	2.98493256086148	0	1.60047856970064	0	0
Mgp	0	0	0	0	0	0	0	0	3.43632142619583	0	0	0
Mia2	0	0	0	0	0	0	0	0	0	0	0	0
Mir301	0	0	0	0	0	0	0	0	0	0	0	0
Mir340	0	0	0	0	0	0	0	0	0	0	0	0
Mir467f	0	0	0	0	0	0	0	0	0	0	0	0
Mir484	0	0	0	0	0	0	0	0	0	0	0	0
Mir541	0	0	0	0	0	0	0	0	0	0	0	0
Mir680-1	0	0	0	0	0	0	0	0	0	0	0	0
Mirlet7a-1	0	0	0	0	0	0	0	0	0	0	0	0
Mpeg1	0	0	0	0	0	0	0	0	0	0	1.07323586318622	0
Mpp4	0	1.19356279207538	0	0	1.35338928720163	0	0	0	0	0	0	0
Ms4a1	0	0	0	0	0	0	0	0	0	0	0	0
Ms4a6b	0	0	0	0	0	0	0	0	0	0	0	0
Msx2	0	0	0	0	0	0	0	0	0	0	0	0
mt-Cytb	2.18020288639429	2.14122647992241	2.43189802835785	2.15084499851387	2.87351116651772	2.22621808219398	2.56949700069575	3.05494662440192	2.74353461414106	3.19134016796561	1.83880974650146	3.77164625556272
mt-Nd1	1.44592487750047	1.32844057146381	1.80920743744376	1.96438382600428	1.83347839051329	1.64874507821304	2.24389106132984	2.30551039337478	1.9148463055401	2.60615111732615	1.23677143610464	2.86361555428106
mt-Nd5	1.01055576939668	0	1.24542690751705	1.05600237518864	1.5091571359112	1.01102519583525	1.46337347666709	1.66598597710884	1.7839825497379	1.71945733390265	0	3.12245273027157
Myh2	0	0	0	0	0	0	0	0	0	0	0	0
n-R5s194	0	0	0	0	0	0	0	0	0	0	0	0
n-R5s200	0	0	0	0	0	0	0	0	0	0	0	0
n-R5s95	0	0	0	0	0	0	0	0	0	0	0	0
Ndrg1	0	0	0	0	0	0	0	2.18775003328135	0	0	0	0.23736601189401
Nefl	0	0	0	0	0	0	3.22036821695493	0.879574415034761	0	0	0	0
Nefm	0	0	0	0	0	0	2.53959692438204	0.539329846996349	0	0	0	0
Neurod1	0	1.69837527844816	0.717462100250844	0	1.56258948794791	0	0	0	0	0	0	0
Neurod4	0	0	1.07797893054096	0	0	0	0	0	0	0	0	0
Nhlh2	0	0	0	0	0	0	0	0	0	0	0	0
Nipal1	0	0	0	0	0	0	0	0	0	0	0	0
Nmur1	0	0	0	0	0	0	0	0	0	0	0	0
Npy	0	0	0	0	0	0	0	0	0	0	0	0
Nr2e3	0	2.13586824445274	0	0	1.45871929568849	0	0	0	0	0	0	0
Nrl	0	2.07593240751995	0	0	1.35842251111647	0	0	0	0	0	0	0
Nrn1	0	0	0	0	0	0	1.06901197759914	0	0	0	0	0
Nt5e	0	0	0	0	0	0	0	0	0	0	0	0
Nxnl1	0	0	0	0	0.715257813047304	0	0	0	0	0	0	0
Nxnl2	0	0	0	0	0	0	0	0	0	0	0	0
Odf1	0	0	0	0	0	0	0	0	0	0	0	0
Olfr455	0	0	0	0	0	0	0	0	0	0	0	0
Olfr70	0	0	0	0	0	0	0	0	0	0	0	0
Olfr701	0	0	0	0	0	0	0	0	0	0	0	0
Olfr772	0	0	0	0	0	0	0	0	0	0	0	0
Olig3	0	0	0	0	0	0	0	0	0	0	0	0
Opn1mw	0	0	0	0	1.78151549254539	0	0	0	0	0	0	0
Opn1sw	0	0	0	0	2.01029819909425	0	0	0	0	0	0	0
Optc	0	0	0	0	0	0	0	0	0	0	0	3.00799055403112
Otor	0	0	0	0	0	0	0	0	0	0	0	0
P2ry12	0	0	0	0	0	0	0	0	0	0	2.1284194618283	0
P2ry13	0	0	0	0	0	0	0	0	0	0	0	0
Pcp2	0	0	1.27421413894987	0	0	0	0	0	0	0	0	0
Pcp4	0	0	1.50223706240101	0	0	0	1.16130675490627	0	0	0	0	0
Pdc	0	3.66350073132647	0	0	3.13129880406356	0	0	0	0	0	0	0
Pde6a	0	1.48506054029453	0	0	0.823299620415431	0	0	0	0	0	0	0
Pde6b	0	2.44733836988609	0	0	1.57555870841992	0	0	0	0	0	0	0
Pde6c	0	0	0	0	1.2097290200705	0	0	0	0	0	0	0
Pde6g	0	3.10906609049443	0	0	2.94606484926902	0	0	0	0	0	0	0
Pde6h	0	0	0	0	3.05427364198759	0	0	0	0	0	0	0
Pdgfra	0	0	0	0	0	0	0	0	0	1.90324737903611	0	0
Pdpn	0.949657060627243	0	0	0	0	0	0	0	0	0.713706177143394	0	0
Penk	0	0	0	0	0	0	0	0	0	0	0	0.813603040940234
Pex5l	0	0	0	0	0.992020405778443	0	0	0	0	0	0	0
Pf4	0	0	0	0	0	0	0	0	0	0	0	0
Pfkfb2	0	0	0	0	0	0	0	0	0	0	0	0
Pitpnm3	0	0	0	0	0	0	0	0	0	0	0	0
Pltp	0	0	0	0	0	1.47254801636713	0	0	0	0	0	0
Pmel	0	0	0	0	0	0	0	0	0	0	0	0
Pon1	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r17	0	0	0	0	0	0	0	0	0	0	0	0
Prkca	0	0	0	0	0	0	0	0	0	0	0	0
