2338	2339	K562	BJ	HL60	hiPSC	Kera	GW21+3	GW21	NPC	GW16
ATP6V0E1	9.39413679984265	9.13445199072281	8.60361073193204	10.7709694113176	8.19779140677473	8.13328775659044	9.33885788966921	1.09085343045111	3.46727948045998	4.99503219247754	0.447651310666653
ATP6V1D	6.733068700549	4.92076967302065	5.77659756212326	8.44120126061824	0	6.54119891577975	7.53864716853682	8.11717554569216	7.53962412155905	4.61882595258744	0
ATP6V1F	8.97004203461727	8.72819263549805	10.6078434516453	8.50890397900067	6.14685854364446	8.33036950553311	8.66821133127062	8.15517241169343	9.19979501777049	7.81621568762287	6.75038024148767
ATPIF1	9.70037707436538	9.96361861744397	10.5625257316301	9.09450000483505	7.652912889623	9.86711982756197	8.84101312190395	7.96457191155972	6.48252564076792	8.79837459209684	1.10324347219631
ATRAID	8.33987284217105	7.28456965461433	7.31292530870491	8.14908657973822	5.01110344403415	8.07702389688661	7.65646013312359	0	0	8.22684565872765	0
AURKB	0.211116500341524	7.77985065247157	6.8939654219261	6.52042224852645	0.568751761874968	7.6377489992929	7.38950093032937	0	0	8.83108551731799	0
B2M	14.2373954914577	13.9609340956471	10.7347422084376	12.5368834156286	12.2818466296622	8.25753987541221	11.7422213130313	6.28206907519813	12.6872860043363	7.71066869967463	3.18099381199096
BCAP31	8.92362260432	6.8332696208084	8.71197557533292	7.89935692292311	9.1176602145332	7.69497171338353	8.55136718772236	6.12928301694497	0	1.62760683812965	0.311465175460088
BCAS2	7.37805786906193	6.57273811686407	7.60548596740443	7.62775273437702	1.93537469348713	7.32239560197274	7.40965568199311	1.30451104180995	0.748461233004036	6.22612314312524	3.59323146047089
BEX1	0	0	0	1.43295940727611	5.96780048029161	7.1891037548947	0	9.36859376265085	9.13329636570058	4.27202318906105	6.90657380440171
BEX4	1.83403686382623	0	7.70175028094713	6.4715126480455	0	6.40624582359697	3.3243010277038	7.89796643164945	0	7.05017516041092	2.51180510759132
BIRC5	7.21980656950297	6.21994291395413	7.9825428534442	7.92100780045222	6.58082513902749	8.10316089254575	8.49835266968566	1.23266075679027	0	9.53356334821451	0
BLOC1S1	6.38260533356727	7.3710360522997	6.67748508181714	7.43812647955095	2.85278163728316	6.88169852492074	7.0245678937699	6.6246858105254	8.74443022998792	6.66689858244059	0
BLVRA	6.18317763781417	0	7.12080464656789	6.96266469300056	0	5.65892541965588	6.63721784840909	6.58345891013077	5.36667191611176	0	0
BLVRB	9.39275758944089	6.30870307128211	9.43745238903417	6.6906964439777	0	6.19643178151183	5.86319445252288	0	0	0	0
BOLA3	7.36690668619764	7.03364324351038	7.61561438612187	7.25616150230877	5.02314334396578	7.36717470474602	8.20418420259647	2.22032995487956	0	6.67849450777373	0
BRIX1	8.17465793421373	6.87024140704511	8.50616104905225	7.63546419816788	7.31184068424045	7.47050620956123	7.21099915078177	0	0	4.46074256378964	0
BRK1	8.02287928899805	8.29186136958522	9.0569860376083	8.99186193055632	6.27641311468774	8.00812160715857	8.56361545069963	9.5270077606372	5.12722055048807	8.25200305974414	1.0703893278914
BST2	9.25217915828605	9.19805208375945	7.69939433763488	0	0	6.00470912225243	0	0	0	0	0
BUB3	7.99833678114558	8.48244496891726	8.90148917916401	8.95020593362445	7.99926622905911	9.35322035546284	8.760171598135	7.98567119375906	7.0666274090952	9.09563437539421	0
C11orf10	8.93582282823288	9.85563159449109	9.53542613615483	9.12830371300865	10.0337449235256	10.0365336064371	9.52786972099798	8.47524704728784	8.42714520098445	10.2028829372607	6.30396500864825
C11orf67	7.15680350663749	0	5.38946003555558	7.81435815384856	0	6.41881514912165	4.94240159076308	0	0	3.52481592835751	0
C11orf73	6.79652770601012	6.26603689399532	6.85596898480046	7.41878026595992	2.63658075655936	7.48669397679865	7.2584931356151	7.52057939628989	0	4.42290574261218	0.521322168704247
C12orf45	7.38380055538523	6.95116812883891	7.22476140761278	6.6979405826171	6.30869525363087	8.1917167627634	7.39522984416488	0	0	4.72027846523333	0
C12orf57	7.80778923295095	7.5298209465287	7.15839974678554	7.36404708360732	0	7.22893170237226	6.69693571378256	8.57973077062517	7.70376517879341	7.99599321661899	3.41758307861023
C14orf166	8.59597424011094	8.53476976146657	7.32907451652989	9.09029770804577	5.55624418886851	9.71067383233973	8.21718113405922	7.65248649491816	6.43195718768673	8.37029507989123	1.17316644316189
C16orf80	7.46211534659305	0	6.63292242574659	6.81249822533356	0.884885869624724	6.67476546391046	6.36194760168321	4.79441586635011	5.18189764310839	5.83869970177424	2.55742295011442
C17orf61	6.97450698151238	6.26716121802226	5.40735211035263	6.13216552547809	0	7.94642250289899	6.70008446572859	0	0	5.82603995889619	0
C19orf48	5.54482769177577	7.81890167588564	8.38100476854364	5.49024921062709	6.5932413030251	7.1243587509411	7.12111477343108	0	0	8.02552718257317	0.470553155473216
C19orf53	7.15158038914832	7.57213175138666	8.00379629204689	8.25719924277855	7.18675799121239	7.29646301189871	8.05844996265299	5.25209770303744	5.13463167144765	7.04788732939655	0
C1orf31	7.81070832791584	6.98527271425345	8.08764081421221	6.41970742081027	4.80115772806954	6.79498822089165	6.97479769528235	0	0	6.69125497865014	0
C7orf59	8.27840668349712	8.0464692327619	8.71865144147942	7.93646127165036	8.04975146582257	9.11740021919094	8.4287132407056	2.39231742277876	6.27127625917593	6.85237344958027	1.50555099637078
CAV1	3.47798533224091	0	0	9.23062093312987	0	0	10.2921509298031	0	0	0	0
CCDC12	6.51293722344623	6.47411151394241	7.68114764594987	5.22303633790187	4.71573292290673	6.65516843412506	6.79342120722618	4.84096670448742	0	5.78659636189081	0
CCDC167	7.0945507199333	8.14343423678486	6.69898638312315	6.63604452602804	5.32063753241042	4.87185492317837	6.02429247878652	6.03518399661834	0	8.45088131527337	0
CCNB1	6.43764588320166	5.27537959625362	8.97417278500291	7.49553528064453	2.62067413592824	8.05847420699257	9.22844472817451	0.475084882948783	0	9.13952577247271	0
CCNB1IP1	5.79054637622504	3.32912359629157	6.25181305581377	3.93262815702213	3.04550608448574	8.57575723451536	5.95780489087401	0	0	7.76188361236552	0
CCNB2	6.33143115820448	5.1168637576909	8.45577741245803	7.74597677931644	5.35215886330832	8.00270344588681	8.13701654560138	0	0	9.7974021416314	0
CCNG1	2.18925581162686	7.4771915989122	7.77518201033953	5.57319272378161	1.5382795475658	8.54029176014018	6.02526020152974	0	0.475084882948783	9.10658911154611	0
CD44	7.48673501084737	6.19672506078603	0	10.9903876518027	0	0	9.05276396774671	0	3.27649666564036	0	0
CD63	9.89998600319888	8.1647561144337	9.69793941479073	11.6421690538335	7.89940663840847	9.33491277345882	9.79280263570196	6.97407036702403	10.3977494928688	8.34318571544788	2.86778545808529
CD9	8.39861654561753	0	0	8.08799314636232	0	8.52741012146076	9.00303534888051	0	0.790772037862	0	0
CDC123	6.83396854229981	8.24260250592898	8.93701963393268	8.39240329492788	6.09909346471513	9.07859377089967	8.74837327079969	4.72683121703249	5.04045412134962	8.27276973243651	0.897675682583279
CDC20	1.79091061081325	1.30451104180995	5.84468391685085	5.05701696536554	5.25926904475856	6.01353141538856	7.59946540128359	0	0	8.33060321466281	0
CDC26	6.13914101715856	6.28021399581062	6.31405724670812	7.20408201217437	0	7.27314790627143	7.60256647425977	0	0	5.35191096110308	0
CDCA3	0	2.51096191927738	6.27948057216346	6.61838550225861	0	2.03119903189924	5.54734058412851	0	0	7.14333218939023	0
CDK1	2.47098508324136	7.09971599916091	8.78038478164223	8.5281024293024	5.39311847507701	6.97393499827708	7.75093841368935	0	0	9.20408201217437	0
CDK7	6.94397800031398	0	6.39111451185326	7.01457846492289	0	7.21715088005007	7.5049772489316	2.22032995487956	0	2.18586654531133	0
CDKN3	8.46500517460992	7.00337736020232	6.10292540778385	8.2665054688284	0	7.13857397418528	8.43321062137606	0	0	7.83251030761145	0
CENPW	7.60379226524482	7.63197732023875	8.15129191019729	8.24859175953591	8.24347904811695	8.0647687283438	8.02670204129729	0	0	8.20026107981327	0
CHCHD3	6.72437726031676	7.54024430213427	8.73852042808715	7.08544590219427	6.27161365044588	7.12016763057058	6.22663788956677	0.992768430768924	0	0.495695162624069	0
CHCHD8	8.00720207374143	7.45294130797121	8.42965474664096	7.03913839390696	6.6213779075461	8.14405805948288	7.33654700403931	0	0	4.52105073690096	0
CHMP2A	8.02029378148124	7.95808865848008	7.19047947082596	7.56742375770728	7.78117758307347	7.62456794360886	7.00810914308484	7.42433427845975	8.44770316249688	5.15421053058834	2.15566436299779
CHMP5	7.5277625324052	4.09254574154357	6.06745314151492	8.04417551263921	0	7.17857859438513	7.22818214915279	7.73545448168425	4.83289001416474	7.72601374886015	1.57498734080969
CIB1	7.17765371472994	7.3389591754152	6.58469369859937	6.61706334388818	6.02886646736801	2.27325587388578	6.87524806735561	0	0	0	0
CINP	6.83978296645427	7.22226360352835	6.8707849274057	6.75448669787116	0.95584579093617	7.11216941202716	7.01584952460269	0	0	0	0
CKB	0	0	9.20684460353031	7.82718389581953	0	8.5066969844285	0	9.74478339273509	9.38530160300462	10.4214442318107	8.38086338682012
CKS1B	10.0151068991829	8.57004542413819	9.52878997136057	9.0961353249095	8.27701152609427	10.0433545032442	9.67768192149265	0	0	10.1606782132205	0
CKS2	8.45493253963079	9.47965902405753	8.9744635182875	9.82494283421106	9.42757959397202	10.1138212485634	9.74917147430883	0	0	11.2874873015665	0.996384215384462
CLIC1	9.5005869841776	8.94406779156827	11.0817134438603	10.0077421281149	9.25793579307946	8.78530117615169	10.2164094514957	0	6.58285703484424	8.37134104800584	0
CMC2	7.97368079031597	7.69731512171625	8.06591354750877	8.24944534108584	3.60783735710781	6.91278109803745	7.32489439020704	1.21412480535285	0	6.06673502873203	0
CNIH	8.92090030910966	6.52497259828663	7.36320685310118	8.81778312177453	0	7.65831355034127	8.18761219011004	0.739848102699327	0.713695814843359	7.34651373316564	0
CNIH4	9.33677611033167	6.39780296186249	7.76384413470958	8.58240546354078	6.00739586811123	8.95066516260454	8.56328355532735	0	0	8.34331898366107	0
CNN3	7.37128531359949	2.67581593117227	0	7.80767691626514	0	7.59354651030353	7.66895134645702	7.13000418418862	8.0047822634596	9.09360242879573	8.71316805558309
COA3	8.6537947324797	7.60584986719498	7.82202895250742	8.01775491974071	6.32989262312581	8.0230008686811	8.68998426404121	8.83829000190733	0.687060688339892	8.38309944322815	3.95766573443132
COMMD1	5.90518748891362	6.5186924924252	6.05176612946668	8.07274895156064	6.01825702420664	6.64214601319716	7.02990363125598	5.65420637794429	0	0	0
COMMD3	7.28562083086117	7.20388631290103	7.65334242119447	7.73152269124339	0	0	6.5341947721153	7.2881739681123	0	2.51853513898218	0
COMMD4	5.38597760822123	5.66391384211598	7.08247691617627	6.78764141448333	0	6.42336163160135	6.73869113345303	0	0	6.62600100488014	0
COPS3	7.17180981242618	7.90797221133397	8.04280343161692	7.60407132366886	2.34889802787194	7.7708995401794	7.95801412004508	5.22380865860602	0	4.91025296279928	0
COPS5	6.28393194222345	7.61065577440193	8.02519478992416	7.52927436760915	5.92720655343505	7.04581101683226	6.71199245183228	5.79467578798686	0	6.01033228328482	0
COPS6	8.23695815875379	6.90267658665114	8.27141551520879	8.4643415327611	6.45394149497418	8.62978275741156	8.76279620875736	7.38188898345605	2.114367024952	8.03199060858887	1.79863447527631
COX14	7.27032776976867	6.95686979831631	7.64882320038029	7.64002797328624	7.10779233278209	6.77228501387669	7.14462558695193	0	0	4.82578562746479	0
COX17	8.30217106935014	9.10105646413834	7.26270750052687	8.03028089467172	8.54870616746407	8.12376319675349	7.70703909762142	4.64154602908752	0	7.33208131710197	0
COX6B1	9.75522666010968	9.57391222522777	10.2709668699781	9.89401435858769	9.95064818140284	9.38858803923133	9.49021697684924	8.59712142878957	9.36911745859982	9.30183910867292	4.64334818228071
COX7A2L	8.70078772720895	7.874919889687	8.21807821063939	8.61768784744864	8.01547718542688	8.4019988645636	8.25913111341391	8.87756022098761	5.5978290978269	8.29806256771902	3.17380448387965
COX7B	10.3547307812969	9.48689534204587	10.7854968995143	9.94079808511284	10.2385154791599	9.71408175646317	9.70509535451866	8.73165844875181	9.61358690212965	8.79103261675567	5.62516795308486
COX8A	9.67961577731997	9.57144928545356	9.95381987505711	9.21708527592205	8.59887684098657	9.1468353845213	9.66599143650391	8.67546311636019	0	9.14455628198228	4.2825796068331
CSNK2B	8.69093071785237	8.70099449416827	10.0885501972988	8.51285895444998	7.72264665634634	8.52829353216267	8.75222219778249	8.06096607400477	7.99044438269836	7.53644150496738	3.86571111123106
CSRP2	0	0	0	7.32030414932561	0	9.20549635843351	7.74298083142907	11.7142068735314	8.91324846871513	9.86381458735964	1.29647366038092
CSTB	7.41826209713486	6.25946081613399	7.08066346250205	8.20084957463721	0.399543653037002	7.43717917496624	7.96880489189744	1.64616265715789	0	6.28132732965948	0
CTTN	10.0158749687265	0	6.83010250170527	7.35279382940117	0	8.97922794606019	9.4918219523409	8.73365938954936	9.62305842540567	5.46956042171122	8.60080018651853
CUTA	8.04542169131223	7.22236021796273	9.20073841011073	8.89245174412392	7.77757123299827	8.63744558151961	8.28169680807926	4.81608765860021	4.30961277245412	8.79646148269895	0
CYB5A	7.57069165897699	5.7899900186681	5.34112581631576	7.56970373770173	0	8.68822252576259	5.38357909526422	1.32192809488736	0	1.27500704749987	0
CYSTM1	7.9219501449159	7.50279203246297	8.81784608133329	8.34456222703313	0	7.10391885374988	6.32425833709294	0	1.36737106564853	3.32768736417605	0
DAD1	10.3198109194815	9.71168417912711	8.39119489582951	10.7975885787547	9.32810088985073	9.32151845185487	9.7044211397609	9.00430474983716	5.4591036961354	8.74274731558099	2.76883440417569
DANCR	5.49732366033924	7.00067610485072	9.93696283994075	6.72027846523333	7.24463443314098	10.0705591004783	7.69738246074833	7.65835431677408	0	5.65563804923464	0
DBI	9.60791441090569	10.7621079255304	8.64483879129249	10.5606385385185	9.48150320387996	10.0087883978521	10.8051743417288	4.23802251782572	9.14241343787374	9.49279454834642	6.73226636616316
DCTPP1	6.11536118124638	6.81211311298331	7.64776672394466	6.01725383896894	6.93749709793954	5.99631955613622	7.35155991248116	0	0	2.92409988564074	0
DDX39A	6.00400983606248	6.96220195703608	8.6638250446835	6.77135740899056	7.13190460009239	6.43378038182834	7.91553967008188	0	0	4.7311832415722	0
DDX47	5.99676506162166	7.63146811235315	7.28045000379892	7.2769618560616	5.28471103514293	7.41165475758299	7.99254119183187	0.863938450423971	0.641546029087524	5.6055535954944	0.701770208872626
DECR1	8.00963838408511	6.67299099382775	7.68153439803152	7.91402628254554	0	4.61338671172408	6.83479653236942	0	0	2.66448284036468	0
DEF8	7.32525984451253	0.941106310946431	7.13509994174463	6.91552090075196	0	5.99582313480724	7.00488453324372	0	4.95791459863299	0.739848102699327	0
DERL2	5.70565226295476	7.32210842049736	5.80693194949381	8.16259273808864	0	6.08778749936447	7.11055308648378	0	0	3.17791779219584	0
DGUOK	7.5190772703491	7.41498114290309	8.0692468579387	7.67630972700068	7.45758762923953	8.16461069993462	8.28078245079291	8.14016513459945	7.04286317624712	6.8903250848035	0
DKC1	7.79023755284363	7.57705110973515	8.61321075533297	5.66448284036468	7.8669643568685	7.34306035961931	7.82807775300471	0	0.150559676575381	2.50589092972996	0
DKK1	0	0	0	10.1599217797791	0	0	8.5749490887335	0	0	0	0
DNAJC9	5.76697560654068	7.24659810305712	8.77722957838635	7.23601419190009	4.37599208228517	4.16755402061634	7.67935334404832	1.15055967657538	0	7.02657877012771	0
DPM1	6.63023392089944	6.87946072253802	7.51190950144112	6.46711641800817	4.18434598506136	6.68686569808656	7.2089466900603	0	3.90881290773955	1.97452931248388	0
DPY30	7.89505933683207	7.56247140526129	7.84771266354021	8.045213599665	6.36770095480955	8.85666087612175	8.23901815374208	7.60102789702112	5.52669484554198	7.73220135107381	0
DPYSL2	1.10908059354758	4.99593670350459	1.25087242473246	8.73084371201358	0	9.5826530849531	8.41453293970711	12.6576176772716	11.6887529789146	10.0700135771298	11.7207484189055
DYNLL1	9.55073312209825	9.57635207006782	9.99932364081124	11.1663765204313	9.10558994368621	10.0024116175468	10.9998564304363	10.7857630432908	10.5313327199957	10.3195140705797	6.18144712899404
DYNLRB1	7.77945865380442	7.10956950937069	7.79799869635947	9.09230788021272	5.69699652279564	7.36078804191599	8.27246111492075	8.52238536631593	9.19135537472995	6.35931031689044	3.26645456415813
DYNLT1	9.7603069369269	8.54878338471235	8.77800438325814	9.61871585261098	0	8.8479589005303	9.24850016593964	9.794302135907	9.31870096650378	9.2803068064537	7.94164563796288
EBNA1BP2	7.67448391028401	8.14725581275871	8.21708105036691	7.88233736124948	8.2386401883858	6.44452336349492	8.59641330412148	0	3.69041709553247	1.17632277264046	0
EBP	9.25366886856656	9.11191811355546	8.95543195244781	7.39420543035888	9.17966389676333	8.68117209502627	10.7248447338816	8.89717990857398	0.594548549550354	6.85162412734689	0
ECI2	0	3.21101219348551	8.54053474821038	8.77412814429358	0	6.78024663270052	7.11727672457399	0	0.27500704749987	7.96382088399119	0
EDF1	8.81141845327409	8.64778218701602	8.30490082526836	8.98683753671616	7.18222859331344	8.04799871023913	8.27471752647682	8.05961485629722	5.00988458893184	8.47467939233623	6.55023187062743
EEF1B2	8.9247191666888	10.8354662136592	10.2819198324993	10.0732713007788	11.0141544882924	10.5124765350533	10.4899555209838	9.38255918489123	9.06853646525626	10.5027522597628	5.2661236525321
EEF1E1	9.10187738954527	7.14567745519564	9.65163491328786	7.97332426912449	7.76810293256202	8.85402707168207	7.60272070989522	3.51601514700366	0	7.62986657364294	0
EIF2B3	5.68646446230535	6.83453425539226	8.25508703717355	6.48880418737256	6.69202659702275	6.33666996508811	6.93054607078637	4.13832300405648	0.622930350920177	0	0
EIF3E	11.1405346974994	9.57192325437916	9.65493825658195	9.1002155336548	9.42069718940416	10.6067145386985	9.72763738249644	7.05766687679971	2.58976348698498	9.7879351991815	1.038176930378
EIF3H	11.2587275743314	9.23419472295381	9.01296415915521	8.32539540988712	8.22361532010105	9.20196393864662	8.92075522755559	8.21592122539727	8.3360155359515	8.21834527167104	2.31691901858352
EIF3K	8.53055286098467	8.73365938954936	9.93480891636897	8.49337513793657	9.76213274288304	9.09628888723528	8.88998933626457	5.69348695749933	5.48800077083407	7.41886457739032	1.15336443352989
EIF3M	8.99337769620637	9.56132613645392	9.86373066188507	9.16480638693274	9.31318657241469	9.70863613247111	9.25640741682446	1.28095631383106	0.773996325111173	9.52571654819596	2.9574687930208
EIF4E2	6.86692702877612	6.79103261675567	7.00404794421132	7.48002271341054	4.62320451869385	7.55187249416124	7.57816668835241	4.47053686509258	0	7.34411833452143	0
EIF6	9.19103390486703	9.15891258450803	9.72479510240992	9.15810471969659	9.11905739724546	8.63213136248402	9.91395822839743	3.96347412397489	9.30067286942404	8.26200085566098	1.13223819000385
ELOF1	4.9957199652084	5.00988458893184	7.31996974468624	6.31849761886055	0	6.270649773317	6.76888109849092	1.62760683812965	0	0	0
EMC2	9.89852647723194	5.12184429787638	6.25918365868758	7.07210580048042	0	6.57275600477309	6.6845311851845	0	0	1.77399632511117	0
EMC3	6.72771601383784	0	7.57189931728036	7.64299031296116	4.83412197958232	4.9481397091671	6.34801957223829	1.33913738491959	0	0.75702324650746	0
EMC4	8.44081722423907	7.67475722778515	8.42745125624374	8.68618534092696	6.75079391292603	8.22918679156994	8.62770888819432	7.55704241526372	8.24583788960736	8.97816702265943	2.27013765208293
EMG1	6.16772867568	7.1407786557828	7.23909492346629	6.46809451637844	6.97283896305704	6.7822408287643	8.0848153289754	0	0	0.992768430768924	0
ERAL1	6.47181558603637	6.1876489953106	7.85671441639904	5.69682846458871	2.46719219894441	6.86102611708237	7.19294579694742	5.32228872357088	0	3.81147103052984	0
ERGIC3	7.39679775833659	6.77280941016073	7.90642230287052	7.96659196775482	4.41630768487898	7.45835649999958	7.99449433796054	4.14323013477689	8.9983929799628	6.92718535782637	0
ESD	5.44953871044724	7.61889934790406	8.59097209150227	8.92727426398423	7.82493881800751	7.69756112025966	8.82457532130749	3.98458935036246	0	8.36483503491908	1.71034225134775
ETFB	7.62821572649617	6.83187724119167	8.25601985720866	6.3327079336406	6.46541190399182	5.86723296659757	6.56548232199831	7.59849920107575	0	4.02059109477325	0
EXOSC5	6.88155596126195	4.50207595604579	7.52687297453547	3.66562016406638	7.11303346113019	7.33224827844893	4.49338322261582	0	0	2.22342254993494	0
EXOSC7	6.88717911629543	6.76778719809436	8.25008478333954	5.73009646559547	7.54577193268738	7.79917998397698	7.38577465271981	0	0	7.36229453839559	0
EXOSC8	7.82722910169583	7.49481559239038	8.08721976281275	7.96739919892461	7.7832098680331	8.47852158390406	8.40927846704549	8.04919510562227	2.47767732756531	8.93625513239268	0
FABP5	0.334513382754815	9.29337968128275	6.58050949147746	9.10800164646591	10.1742334141773	9.46487074809993	9.61578440691648	7.60429376155303	12.2566421397006	9.18410669236861	8.51632980145411
FAM162A	6.23003299415592	8.19115794135308	7.79190240653369	6.95547555318157	7.79395503390289	9.688076878727	7.23626593249192	0	0	8.01044418516899	0
FAM96A	7.22678307006612	7.83156060377827	9.05869376152546	8.08065766334522	8.32201815344812	8.4463870207548	8.15357932552143	0	0	7.58300752720769	0
FDPS	7.13983489389336	8.51439846089868	8.79452354669793	7.94947657038666	9.10950216691559	9.1323151427233	10.2925837330454	2.18903382439002	6.59723318908613	8.8799507684126	0.921489415894163
FIS1	7.22524176335343	6.68004299262257	7.47397892812388	7.40905143853856	4.64348676526351	7.84036462457959	7.25050869465502	5.94321808742628	0	7.4667902378031	0
FKBP2	6.78561425248531	6.12515513132229	6.49359671066911	7.0614522027414	5.64772744082713	5.56501889347132	7.19598476059515	2.33342373372519	3.4867143730307	3.1554254317472	0
FTH1	11.2178414830989	9.37314791376331	8.36028143362674	8.42882075651775	3.58841070285416	8.23287640179117	8.79466313328806	8.8794913552823	8.87476623331501	8.24750033654362	8.2119702921416
FXYD5	10.7032119487728	6.83099048124926	8.76683943686388	9.38342350114569	6.91333100383555	7.25844840402269	9.11018148380622	0	0	0	0
GAS5	8.55779058357179	9.30861206960795	9.38736936449835	7.65570959551851	8.61160575478151	10.3356292598949	8.7599836126691	8.7236950704414	7.88886499017852	8.60980666333323	2.12931976056855
GEMIN6	5.19096746731214	7.00416427456992	6.89757955378158	6.52136487844622	0.84799690655495	6.55585396940149	6.88104528682969	0	0	0	0
GGCT	9.10834135832379	7.47897180503294	8.5468858620027	7.35684807923652	8.20308660843641	8.91219525515212	8.19322967410313	0	0	8.06096607400477	0
GINS2	1.47242922290377	4.88655014732434	8.01897370613071	6.40173284952262	0	7.47224856149897	7.55740130111187	0	0	6.65090813229121	0
GLRX	8.12370958673352	7.95338165580255	3.301738994127	8.6880054673815	0	5.80046755079302	0	0.925999418556223	0	0	0
GLRX3	6.58960955269295	7.84410942136841	7.87040644260544	7.93091470719705	6.50477145058827	8.17150853246234	8.23668988978329	1.32192809488736	0	1.85996954822103	0
GMNN	4.34970120412627	7.1238110214654	8.53122306545669	7.77774845997228	6.38562666014124	7.24563987767329	7.81942052470331	0	0	6.28798935040895	0
GNG10	8.17605471123942	4.54349588342577	5.82582800358058	8.69971125070334	0	7.36771886062046	7.50848833675688	3.58736499093646	6.36018867006271	7.0931798467655	0.531751471153079
