,zygote,2cell,4cell,8cell,16cell,blast
CNNM2,7.13964180234986,8.43844248647981,8.95147037480028,6.86355858947066,4.37083787710578,0.572866113831265
CNRIP1,7.05309344288563,6.31028605769223,5.92651582264877,4.4587323865061,2.82513125749003,0
COX7B2,0,0,0,3.89621043902129,4.69139030037065,4.50847953464496
CPEB1,7.0827263603757,5.39978899885594,5.21332738218088,2.9674751885578,2.33688533206227,0
CRIP1,0,0,0,0,0,5.58835240291567
CSF1R,4.73899699764495,5.81204973978763,6.60545668696296,5.0083477532908,2.26197515118996,0
CSRP1,4.49456117100464,6.98341702644719,7.6150879331557,4.00616247336482,0.196982637830121,0
CSRP2,8.14071152164448,8.30148060718123,7.43667841209065,5.48356849348818,5.1901111897141,0.491028951573875
CSTB,5.78309983154104,8.30224364149807,7.87055952958851,5.53109104000929,2.75631267139925,6.77399056857638
CTRB1,3.90456051305238,4.77765895762082,7.04933866966239,6.61658753892535,5.37782090970447,0
CTRB2,5.06733309919296,6.01792045191498,7.92159685396185,7.55612609895596,6.39090808031937,0
CXADR,0.349917939702147,0.206994139273076,0,7.74719005556897,8.00622978372526,6.19563965939164
CXorf26,0,0.0976737991611096,0,2.25076899831885,6.49101558511368,6.30026072534802
CYB5A,7.21392011655093,6.24506791933337,6.09196393361784,3.91247031001888,0,5.44668315100726
D4S234E,6.73376561468956,6.66415537272324,6.72450152018883,4.25710779123715,2.58567952434931,0
DAB2,0,0,0,5.19095697756212,4.54969816626864,7.63397899340913
DAZL,6.01509024988139,5.55791201992277,5.87278333725904,3.10204458713211,0.851373092762131,0
DCDC2,7.35131146025746,7.56342924136109,7.34969582991096,4.52068185144302,2.22151021876624,0
DCLK2,6.4264276910055,5.99504755062838,5.55571077461871,2.6516698089114,0,0
DCT,6.71103796890763,6.75028663168307,7.18977843478473,3.64836340688701,0.325676272132879,0
DDIT3,2.23919458750918,1.68037519756926,3.02139590827462,6.84566380577004,7.38448606009196,1.07875892271941
DDX3Y,0,0,0,0.0772267963399362,6.35409010291158,4.14628380544694
DDX4,6.6552565908563,6.38966094234441,5.99785924209024,4.10793714965983,2.26096721554466,0
DEM1,5.60934615749725,5.87429858681839,6.05817024109684,4.09517594799407,3.47255925281035,0
DEPDC7,8.89470745735701,8.11195556330896,6.0025754649848,4.40911933805779,3.12706200110583,0
DHCR7,5.79794704120276,4.93756389110943,5.23672074704892,1.74749001640816,0.920670787636352,6.52872841518302
DIRAS3,5.9797320336204,5.36615183688059,6.54227701812448,2.28672695321184,0.156332586779197,0
DNMT1,10.9816351587462,12.0636548966731,11.2106779102294,8.35081300254351,7.10386476860364,1.68476283496276
DNMT3B,6.13786181005988,5.49542044957507,5.78486422407105,0.796912554910682,2.36785303834993,7.19513027777914
DNMT3L,0,0,0,2.18479602110548,4.26173738223056,9.94075392889667
DPPA2,0,0,0,5.61412823184489,6.16236416737337,4.82118611406393
DPPA4,0,0,0,3.30855609123136,4.75736292799324,4.7007933648958
DPRX,2.83444561146701,3.02214653079459,2.78607327486904,7.45142613077918,9.48412250139513,0
DTYMK,1.09759740787888,0.856353571040949,0,6.03545665430314,6.2698001493217,7.07173467493167
DUSP18,5.72030382408388,4.65047861757521,4.7936292532404,6.00294561981538,5.50151172444551,0
DUSP5,5.71745182097767,5.10596365684426,5.47107568043048,5.59054918674921,3.85115700183622,1.7762681548354
E2F6,0,0,0,5.84251199030461,5.35066486602602,3.28313530824957
EBNA1BP2,2.548336327812,1.89641518520694,2.35871110609875,7.905272343439,8.09312030425997,7.56487151696961
EFHD1,3.98328242423913,4.76376023989443,4.96446289789907,2.1211297553561,0,6.20402214968131
EFNA1,0,0,0.407580297201503,0,0,6.31389271749837
EID3,4.13239894789033,3.50920209756677,4.24360946924163,6.59036175618131,6.96558037916829,0
EIF1AY,0,0,0,0,4.69550508166348,5.68848929925935
EIF4E1B,4.36237863984815,5.70836312297265,4.65698974740456,3.92817332023208,0.638835891195397,0
ELF3,0,0,0.711558324941376,0,0.0798145929106139,5.78034141532745
ELOVL3,3.68037983204279,3.43695972033518,4.78840093741131,3.98673804557013,2.66082811473018,0
ENO2,0,0,0,4.7888130732601,5.37468737183639,0
EPAS1,5.92051882884564,5.77186250008669,6.13327201288001,3.1787892679439,3.95646829859379,0
EPSTI1,8.65969329383115,8.69493425541019,7.85184905479574,3.48001835928022,0.0707163954646478,2.77646112597648
ETV4,0,0,0.108925548405566,4.67176775912739,4.97171787509679,0.278575138140684
EXOC3L2,6.40293524030789,6.72046648761312,5.61717829532867,2.35033582023528,2.09787174881778,0
FAM122A,5.64290311856077,5.70654416922659,5.91820204994601,4.56752906552803,3.74811205888703,0.546083418176004
FAM13A,9.28384163234933,9.37533337162244,8.57463293792835,3.13995280870914,0.862119724469392,0
FAM151A,0,0,0,7.95428757523579,9.25495142556815,6.09242070843311
FAM154A,5.91169588820092,5.9331757031488,6.0630866361516,2.01034079130202,0.974648119143303,0
FAM162B,0,0,0,5.05309832546433,5.47032059083937,0
FAM175B,5.90126107137797,5.96867729083884,6.42251372476975,5.34038238227791,4.73051765255772,3.88039091908554
FAM188A,5.91607940876922,7.21470022191649,6.52975625135001,4.70278110880935,4.19983736562517,1.76315518386155
FAM189A2,5.52330921925048,6.51775387394906,5.88756717454952,2.80604758383185,1.53478234754668,0
FAM46C,8.47983526231359,8.9996863529405,8.67483863021383,4.97226474555523,2.4638210793437,0
FAM83D,0.145801779015282,0.363593417287752,1.12926549240376,6.51802041692245,4.44606445017942,6.62059142038826
FBLN7,5.13056227790356,5.54200881867757,5.64087867112385,2.56358045067421,0,0
FBXO5,7.07534214887105,5.69759966515869,5.04159344865918,7.50998693255842,6.63485027753603,4.52499294237973
FBXW12,6.36968708595524,5.21564137289567,6.27564020765879,2.88009822885408,0.200268964791864,0
FDPS,1.2956460626559,1.0316907235409,1.66036320333203,0.698943090669688,2.8950330117312,7.68083342031591
FGF14,7.06906356596916,6.74478259654752,6.33163280931383,2.37476128794628,0,0
FIGLA,5.63921702220842,5.04767730584121,6.37026571338834,3.90182607062275,3.19366441534066,0
FMR1NB,0,0,0,5.18831565437346,6.5510406751988,0.677681821155324
FN1,7.00795317271445,7.30428981050119,6.14842080685907,4.32579316835336,2.32091767414378,0.233055120588675
FRMD3,7.19501705300976,6.35332801761722,6.8244694224662,3.62103651977106,0.706883684351703,0
FYN,7.16736541957873,5.94419252617367,5.72064139822136,4.70384629884353,3.4558547777679,0
GATA2,0,0,0.648239276029819,0,0,6.74729817199731
GATA3,0.192107812140898,0,0,1.07127108999964,2.86612550821791,7.60891591206011
GATA6,0,0,0,7.22055234731094,7.35928266731505,5.62153498677642
GCHFR,4.15964208335012,3.17936557726431,4.63327167674107,4.82152159662343,6.00082494796985,0.190869823053979
GCNT3,4.70121651647463,6.76274137533002,7.62538055106555,4.33928627095072,3.27776529670425,0
GDAP1,6.54068587020647,6.67951539233532,6.88411408792808,4.18778093957164,1.20663983855243,0
GDF9,10.161231349373,10.8435951756766,10.1687656099844,9.34978028574299,6.49238581402379,0
GIP,0,0,0.547289651293635,5.67006743013853,6.31078294222075,0
GLRX,5.4937256600027,6.74326680202329,5.68252111920795,1.50836510646713,0,0.29547678943778
GLYATL1,6.07284172604245,5.93437967550193,6.09000756225732,2.94999920926147,0.086243757755067,0
GNA14,6.68978997628003,6.46418325653211,7.1916524773102,2.74823539318535,1.22301030728991,0
GNAT2,5.5433114048278,4.65343750511109,6.24108591598469,1.07054388580088,0,0
GNG10,4.44830350075648,2.63395469112121,2.29213495049551,0.860804010803051,2.48217098844544,7.07570213373162
GNPDA2,7.44137901360592,7.29768033644305,6.54885231189575,3.25877895231768,1.34592473437921,0
GOLM1,5.14639044332342,5.36391929475236,6.71760232030844,5.18274491383143,3.03303899668909,1.54488245136334
GPR143,5.51192897876718,4.75308702078334,6.35478990473708,5.55711056319625,4.29735295513724,0
GPR37,7.93456038151788,7.79778094357903,6.39773379661967,2.91148743777861,1.44289278988324,0.494397958839866
GRB2,1.64965764797494,0.454502499076019,0.121225036838851,6.4170214500435,5.78745683775455,5.7939149750844
GRB7,8.11134525886441,8.01145353188816,7.99079745144033,2.31968514473831,1.17530802618603,2.45970465362918
GSTP1,2.49628815014735,1.04480127631181,1.13541545248627,3.03130987737092,2.01720435962214,9.3523361009002
GTF2A1L,5.9424760244349,5.58110977044234,6.14308862947458,3.11411773688198,0,0
GTF2A2,6.23535790313441,5.71234341098072,4.3774287595879,8.1894530004316,8.22907942146274,8.10393102125204
H1FOO,11.380874125827,12.2371373671757,12.3527885491697,8.72502152738713,5.60833145345375,0
H2AFZ,0.552889316994321,0.438680525332401,3.81561102844969,11.6537161258526,11.744216957498,10.016094065993
HABP2,6.55279247650089,7.03826695536537,8.13955686117463,5.89929275272671,1.3009100514274,0
HAUS8,4.83213834666496,5.14654262685649,6.47160151168552,4.41672158924362,4.75542399901448,2.14226121228561
HDAC9,5.73439800431861,6.02582597987594,6.88916718833556,4.41984198406339,2.02920072205016,0
HDC,5.42015750426902,6.71424888119872,7.06134420219913,4.09717493665801,2.39410334069745,0
HERC6,5.05683003666206,7.04798326349548,6.89103042663439,2.05935262013708,0.725506621471987,0
HHEX,7.85047175403738,6.00134004389126,5.1674130038192,2.75224492242009,1.1413752757383,0
HIPK3,1.48171902807401,1.67253919551504,2.54057550569095,6.82440640090848,4.2069645898395,0
HIST1H1A,6.54740951179524,7.56294980357484,8.24962535720081,3.93101382606049,0.952700097656246,0
HIST1H1C,0,0.144622142578321,0,6.2514394577964,4.4098266777187,0.482601421099643
HIST1H2AC,0,0.992060962650835,0.549525038432751,6.84264191314665,3.61339058843738,0
HIST1H2AM,0.288140128810678,0,2.2052447050832,7.19165163522333,5.33016868519309,0.359872974504448
HIST1H2BC,0.197830299343679,0.141664584025821,2.58371348880369,6.06428234580243,4.59153130917049,0
HIST1H2BD,0.0778746163389724,0,0.509726778698754,5.71899769985733,5.64247129994487,0
HIST1H2BG,0,0,0,7.3946774649936,5.07824158034316,0.0713700860580411
HIST1H2BH,0,0,0,5.01893921618692,5.21869663287671,0
HIST1H2BK,6.01573140706409,5.84991353107808,7.34665188406946,8.16136673032191,7.83573383038421,0.899745726406618
HIST1H3G,3.43862947585863,4.20048280563066,6.57367403262447,5.63033840974482,0.923311844593746,0
HIST1H4C,0,0,0,4.43521491988242,4.91249806779504,7.2956850140408
HJURP,6.67156595523566,7.63917420998266,7.72326502744816,6.81612096668203,5.61458676950624,3.65341921940168
HNRNPAB,2.52468769927838,2.15263799651323,1.88020762235342,9.02281374737234,7.98408298017028,7.55996817989925
HOXA7,6.47527376923407,5.66119978107634,6.6677903225047,2.68443762769792,0.660034352985509,0
HPGD,0,0,0,0,0,5.64757127587207
HSD17B4,4.01083975553582,4.43035284314766,4.97231876323102,0.113870537919564,0,4.75255505331427
HSF2BP,7.28518892527626,5.22815976048803,7.63419621249894,5.38823982104618,3.38173330202803,0.171758489861985
HSPB1,5.91371870184687,5.98413847793099,6.70370048749648,4.78825279843375,4.0641612996217,0.458229150059623
HTATIP2,3.27959402677104,3.02644544790295,4.02490979318819,0,0,5.24515242760821
HYLS1,7.28646877012427,7.72710739012194,6.88778952126743,7.48918589698616,6.67063193283167,2.75691449380105
IAH1,7.19543517467632,7.81617413763154,7.60853400617964,5.0311401140253,3.15521048953815,1.69143950384199
IDH1,6.64000532254633,6.28609343197844,6.69519944169517,3.29685549699095,3.41919292214135,7.98769834857935
IER3,0.685561948837046,0.846673222352522,2.46641497507614,7.36610859300806,8.69498113309631,0.0856034137090712
IER5,0.693709395805115,0.696215867328471,1.58251539100323,6.94878145169746,6.45015564417524,1.24229877723966
IFI30,0.103946425820666,0,0,4.98941429541652,6.03307037755879,5.72706036591744
IFITM3,0,0,0,0,0,6.78808007142141
IGF2BP1,0,0,0,3.77299345609379,4.6588970577271,5.74757339876738
IL17B,4.63838549165946,5.38921385556259,6.21374104473564,6.29542212631792,5.5023617636379,0
IL23R,4.13042210762776,5.16217579462264,5.05175992427973,4.92090329897515,2.54101493650803,0
IQCA1,6.48710019086611,6.27230552641647,6.68810832263216,3.53263294364896,1.37237075103108,0
IQUB,5.94073477058959,5.77838150771662,5.76610549231537,3.3205112040104,1.60251746152489,0
ISG20L2,0.368196365257006,0.301347205837958,0,7.12604282816311,7.05436123728137,5.66895627673256
JAZF1,5.30433431239616,5.76932174637032,5.58661393179105,3.92751750790994,1.83110274982681,0
JUP,3.80452378904272,2.99552751447626,4.60448073205763,1.09587038290025,0,6.61582073967456
KDM3A,6.33649250705157,6.43652798036357,6.44797539951054,4.94221720828186,3.45096758884368,0.929549449648253
KHDC1,0.379781612872796,0,1.10139738173853,8.16191204892498,7.59889964569237,0.361149068730904
KHDC1L,0,0,3.58174735345024,11.0359015299821,11.9746335427706,10.7039086985058
KIAA1257,6.07993598681613,5.87273408428498,6.1327682874038,2.61149325450994,2.00251887068561,0
KIAA1370,6.46521119883663,7.21806701325771,5.53577879802858,5.11675111326868,4.85508142839634,0
KIF2C,6.027379375659,6.16672137507535,7.33162017372088,7.47360239029444,6.11783574479752,4.36940006073421
KITLG,0,0,0,5.23137256807627,4.99604844813511,0
KLF11,6.4815841535597,5.7285320868888,6.07754884429914,5.43052632079064,4.54836219385363,0.0875227430554569
KLF17,0,0,0,8.59557619642193,7.29736796959809,0
KLHL11,1.94911506169819,1.51490223060494,3.41867838781298,7.03477800066176,3.5223945834882,0
KLK11,0,0,0,5.29751684157971,5.85858705663438,0
KPNA7,11.6864155489681,11.9447235310945,10.9601814491762,6.334818401438,4.07356232033663,0
KRT8,0.230801996267803,0.122443529561767,1.97990881307194,3.14260599626468,5.59951600341323,10.1663526936689
LDHAL6A,5.77313510247263,5.16792386408901,5.23012278296985,2.96227800084328,0,0
LDHB,0.266015817061527,0,0,6.73131452537753,8.86254877880316,10.4047788276019
LDHC,5.27235577878049,4.37949586827679,5.41603686877276,2.66694412054552,1.9628192074453,0
LEF1,6.58740068100482,5.95308423012652,5.75739661898787,1.75930646833472,0,0
LEUTX,0,0,3.80423062700177,8.63443316239732,3.02557573020305,0
LGALS1,5.72035800091669,5.70450267491224,6.50246467958969,6.86089178466992,4.47158891709796,0.389304050665991
LHX2,4.41902963853545,3.60738355138653,3.57699021729484,5.18759338930389,4.12779269493005,0
LIN52,6.13913598454821,5.1107746736463,5.79132516810709,5.67492638311109,5.18587979660751,2.97661203589522
LINGO2,5.26739119762641,5.5636138316643,5.78923859973067,2.72354903736545,1.2113439042899,0
LLPH,3.28019974163647,2.41595842698687,0.21840073678525,7.44600448887054,7.65609387874819,6.58857482444176
LOC146336,6.38909142638941,6.87458223236447,7.22578036277292,2.27695703256844,0.158316176261044,0
LOC388948,8.58747062096636,7.5226312975442,7.32742798905882,4.85070708958348,0,0
LOC440563,0,0,2.85601309156727,8.69944849293562,5.38178296493376,0
LOC643837,7.28326067395563,6.11221698701449,5.65530029626946,4.95993576047344,4.60083454751872,1.51074128507825
LRRC17,7.59985110970838,6.7946514979094,6.3030011596262,2.8448480633227,0,0
LTA4H,6.58026257233887,6.78598995122167,7.53137565809787,4.35985544723335,1.19902397641808,5.25673866786691
LYN,0,0,0,0,1.81445513868787,7.1379521885333
MAEL,7.65330642943666,7.75791880528001,7.03650240757082,5.06281046750138,6.27566847983987,0.38178567284604
MAGEA12,0,0,0,6.46101255531228,2.65391795985994,0
MAGEA4,0,0,0,6.03095136173324,6.27596135960722,0
MAGEA6,0,0,0,6.10172244440634,2.3260267820454,0
MAGOH,8.56964398024599,7.81531487302356,8.33653605699812,7.81928720820886,6.24099229484599,5.99351722234093
MARCKSL1,2.5031002621133,1.64660224263117,0.350149274536815,6.57826341139468,7.69779423472957,6.40544776389928
MBD3L2,0,0,5.12067656253026,9.42122020486963,6.28364018691283,0
MBD3L3,0,0,4.94320077079703,7.86646356426718,4.72026251930722,0
MBD3L4,0,0,4.585658134057,7.89381062681779,4.7072276782696,0
MBD3L5,0,0,4.39157254880062,7.88973135431403,4.56486494732543,0
MBIP,7.64488956069238,7.53640130967722,6.72290017872095,7.25910611009502,5.91105785438852,1.75500971519236
MFSD2A,4.09232751253321,4.66923650410117,4.76160124601782,9.31387103433933,8.07971912950612,0
MGAT5,4.59114962827695,4.38743059754678,6.10753064256078,3.14689611934047,1.36599509317441,0
MICALCL,7.686920922317,6.39512714754961,6.11330273076945,2.77614733910696,0,0
MIXL1,7.13240212015141,6.4734196087717,6.3457929951703,2.41637355217323,0.466784430783746,0
MLF1,4.98122946921329,5.13608764330708,5.14844636223771,6.11719724518456,5.85151749432659,0.0868835338683533
MMADHC,1.62975451221527,1.14476601403851,0.386666519575032,7.64777515168026,7.41403999818978,6.8518411774069
MORN2,4.60583305363349,5.22424626923872,5.09157438626706,4.81708892015769,4.5222934760863,0.576026793443925
MOS,6.27134473597868,5.07294622252858,5.72875508497403,0,0,0
MRPL1,3.376717469525,2.55753941299714,1.73619085499142,2.61220546811456,6.38669802641077,6.55621846757301
MRPL12,1.40675208358701,0.878364564346895,0.792236912623462,6.88518379456313,8.15391910222499,8.41241458564308
MRPL16,1.86054149880614,0.220176338764523,0.168998231757508,6.83345871370971,6.35562854464949,6.77323220849265
MRPL28,0.29007274221169,0.66928009572842,0.348677857703475,3.81416903382858,5.91006688986934,6.56720021464614
MRPS17,2.02774508431533,1.74957023396286,0,4.02280595327885,6.95975243012549,7.17348704110234
MSRA,6.13506388860527,6.73259657391242,7.32478873533678,5.77304804460429,4.54771676244452,0
MTHFD2,1.52129240375072,0.243594979648089,3.30228284117332,7.64905474045045,6.27331028025621,7.29027362126564
MVP,6.39351466705712,6.32471613157587,7.61126320129954,6.90860080704021,4.7545586174085,0.499556595698758
MYC,0,0,1.11682762980161,9.28686128596541,6.60195493610906,6.12298610492709
MYCN,0,0,0.0694072344511409,5.28905002878511,4.21715433641204,6.02747823022203
NDUFA8,5.56080354872172,4.61959693675647,4.76588296325173,2.22405706216277,4.76242491658635,7.51060810451709
NEFM,6.11782771770562,5.96935925892391,6.64000146602128,6.02412245622531,3.91193240220261,0
NLRP11,8.51975129441329,9.14162185016153,9.50183860188612,6.07397525603842,2.2341892159719,0
NLRP13,8.06010593400441,8.32769201445969,8.32927686453534,5.77754099437696,2.85126186942788,0
NLRP4,10.4922562648947,11.4186363828935,11.0253675617123,7.45763928620934,4.4692510840748,0
NLRP5,5.74771951757046,6.48223406663116,6.85458210875221,3.56047359112986,1.896374796243,0
NLRP9,8.56928407840716,9.32058577738277,8.56913804896905,5.42545549362869,3.12749591451601,0
NONO,0.667732480992238,1.20963069099238,0.32839690139323,6.45994298953744,6.74519000462012,7.07742949708274
NPM2,8.12574086042869,8.28936565218849,8.32824325509509,6.11224163318858,3.70012797317023,0
NR2E1,5.88031460682304,5.56602328305494,5.88166857955177,2.42691413543741,2.0800321106453,0
NSMCE4A,7.92821153859969,8.06562661802994,7.89326852337225,5.22697608606816,2.65672108851602,4.73110032567308
OOEP,10.3484709037485,10.2719162402478,9.8910159706574,8.60132403153666,5.2391673490706,2.20035263898345
OSR2,6.28620682047301,5.07983142361825,6.16910348756149,2.58639935553833,4.91458362382088,0
OTX2,9.45932362451436,11.2859009444119,10.3119764318889,7.40944381671025,5.20175061047635,0
OVOL2,0,0,0,5.59883116151863,4.97316203267881,3.5105144073757
PABPN1L,5.79117719119933,5.3331181876514,6.15554520692277,5.42792312132495,0.861095943184689,0
PADI6,6.19728359353574,6.58574144386821,7.45786036280145,5.2840708517701,3.25657483006116,0
PANX1,4.45618404397462,4.41379267121766,5.22490786105313,4.64986868372098,4.31418757218998,0.630569812435218
PARP16,7.02705910412866,6.43861862642125,6.00317771153924,3.65554229536936,4.28776808807045,0
PATL2,6.25183720253035,7.44785873912235,7.95393311275074,4.31987076612039,2.396428847199,0
PCGF1,8.47345784384326,8.00854936971368,7.99900694398632,4.14853807339568,4.04728974629631,2.41140763986685
